title,rate,budget,revenue,runtime,year
There Will Be Blood,7.9,25000000,77208711,158.0,2007
Into the Wild,7.8,15000000,56255142,148.0,2007
Elite Squad,7.8,4000000,0,115.0,2007
No Country for Old Men,7.7,25000000,171600000,122.0,2007
Persepolis,7.7,7300000,0,95.0,2007
The Man from Earth,7.7,0,0,87.0,2007
In the Shadow of the Moon,7.6,2000000,0,109.0,2007
Ratatouille,7.5,150000000,623722818,111.0,2007
Freedom Writers,7.5,21000000,41170784,123.0,2007
Control,7.5,0,8159508,121.0,2007
Harry Potter and the Order of the Phoenix,7.4,150000000,938212738,138.0,2007
American Gangster,7.4,100000000,266465037,157.0,2007
Atonement,7.4,30000000,129266061,123.0,2007
Hot Fuzz,7.4,12000000,80573774,121.0,2007
The Diving Bell and the Butterfly,7.4,14000000,19777647,112.0,2007
The Bourne Ultimatum,7.3,70000000,442824138,115.0,2007
Zodiac,7.3,65000000,84785914,157.0,2007
The Kite Runner,7.3,20000000,73276047,128.0,2007
Sicko,7.3,9000000,24538513,123.0,2007
"4 Months, 3 Weeks and 2 Days",7.3,852510,1185783,113.0,2007
Once,7.3,160000,20710513,85.0,2007
Eastern Promises,7.2,51500000,55112356,100.0,2007
No End in Sight,7.2,2000000,1431623,102.0,2007
Stardust,7.1,70000000,135560026,127.0,2007
Across the Universe,7.1,0,0,133.0,2007
August Rush,7.1,25000000,66122026,114.0,2007
Reign Over Me,7.1,20000000,22222308,124.0,2007
This Christmas,7.1,13000000,0,117.0,2007
Lars and the Real Girl,7.1,12000000,11293663,106.0,2007
The Orphanage,7.1,0,44000000,105.0,2007
Eye of the Dolphin,7.1,2500000,71904,100.0,2007
[REC],7.1,1500000,30448000,78.0,2007
The Bucket List,7.0,45000000,175372502,97.0,2007
Sunshine,7.0,50000000,32017803,107.0,2007
The Assassination of Jesse James by the Coward Robert Ford,7.0,30000000,14711793,160.0,2007
Goodbye Bafana,7.0,30000000,0,140.0,2007
Bridge to Terabithia,7.0,60000000,137587063,96.0,2007
Superbad,7.0,20000000,121463226,113.0,2007
The Company,7.0,0,0,276.0,2007
Juno,7.0,7500000,231411584,96.0,2007
Timecrimes,7.0,2600000,553198,92.0,2007
Pirates of the Caribbean: At World's End,6.9,300000000,961000000,169.0,2007
I Am Legend,6.9,150000000,585349010,101.0,2007
The Simpsons Movie,6.9,75000000,527068851,87.0,2007
Shooter,6.9,61000000,95696996,124.0,2007
3:10 to Yuma,6.9,55000000,70016220,122.0,2007
P.S. I Love You,6.9,30000000,156835339,126.0,2007
Death at a Funeral,6.9,9000000,46,90.0,2007
Becoming Jane,6.9,16500000,37311672,120.0,2007
The Great Debaters,6.9,15000000,30226144,126.0,2007
When Did You Last See Your Father?,6.9,0,92,92.0,2007
Shotgun Stories,6.9,0,0,92.0,2007
Grindhouse,6.8,67000000,25037897,191.0,2007
Martian Child,6.8,0,0,106.0,2007
Trade,6.8,12000000,0,120.0,2007
The Savages,6.8,0,0,114.0,2007
Caramel,6.8,0,0,96.0,2007
The Trials Of Darryl Hunt,6.8,0,0,106.0,2007
Moliere,6.7,0,0,115.0,2007
Things We Lost in the Fire,6.7,16000000,2849142,113.0,2007
U2 3D,6.7,15000000,22730842,85.0,2007
A Mighty Heart,6.7,16000000,18928871,100.0,2007
The Mist,6.7,18000000,57096190,126.0,2007
Waitress,6.7,2000000,22179430,108.0,2007
Transformers,6.6,150000000,709709780,144.0,2007
Enchanted,6.6,85000000,340487652,107.0,2007
Elizabeth: The Golden Age,6.6,55000000,74237563,114.0,2007
Disturbia,6.6,20000000,117760134,105.0,2007
The Hunting Party,6.6,0,0,101.0,2007
Walk Hard: The Dewey Cox Story,6.6,35000000,18317151,96.0,2007
In the Valley of Elah,6.6,23000000,29541790,124.0,2007
I'm Not There.,6.6,20000000,4001121,135.0,2007
Namastey London,6.6,0,0,128.0,2007
Taxi to the Dark Side,6.6,1000000,274661,106.0,2007
Ocean's Thirteen,6.5,85000000,311312624,122.0,2007
Hairspray,6.5,50000000,90450008,117.0,2007
Charlie Wilson's War,6.5,75000000,119000410,102.0,2007
The Kingdom,6.5,70000000,86658558,110.0,2007
We Own the Night,6.5,21000000,54926886,117.0,2007
1408,6.5,25000000,94679598,104.0,2007
Michael Clayton,6.5,25000000,92991835,119.0,2007
Death Sentence,6.5,20000000,16974459,105.0,2007
Mongol: The Rise of Genghis Khan,6.5,18000000,26527510,120.0,2007
28 Weeks Later,6.5,15000000,64238440,100.0,2007
The Hammer,6.5,0,0,88.0,2007
Aqua Teen Hunger Force Colon Movie Film for Theaters,6.5,0,0,86.0,2007
Live Free or Die Hard,6.4,110000000,383531464,128.0,2007
Love in the Time of Cholera,6.4,45000000,4607608,139.0,2007
Arn: The Knight Templar,6.4,25000000,0,139.0,2007
Partition,6.4,0,0,116.0,2007
The Warlords,6.3,40000000,0,126.0,2007
The Number 23,6.3,30000000,77566815,101.0,2007
Hot Rod,6.3,0,14334401,88.0,2007
Butterfly on a Wheel,6.3,20000000,0,95.0,2007
Funny Games,6.3,15000000,7938872,112.0,2007
Awake,6.3,86000000,14373825,84.0,2007
Music and Lyrics,6.2,40000000,145896422,96.0,2007
30 Days of Night,6.2,30000000,75505973,113.0,2007
Knocked Up,6.2,30000000,219076518,129.0,2007
