title,rate,budget,revenue,runtime,year
The Hunt,7.9,3800000,16800000,115.0,2012
Django Unchained,7.8,100000000,425368238,165.0,2012
The Perks of Being a Wallflower,7.7,13000000,33400000,102.0,2012
The Dark Knight Rises,7.6,250000000,1084939099,165.0,2012
Moonrise Kingdom,7.6,16000000,68263166,94.0,2012
Ernest & Celestine,7.6,12516654,8109160,78.0,2012
Amour,7.5,8900000,19839492,127.0,2012
The Act of Killing,7.5,1000000,444575,115.0,2012
The Avengers,7.4,220000000,1519557910,143.0,2012
Indie Game: The Movie,7.4,0,0,96.0,2012
Pitch Perfect,7.3,17000000,115350426,112.0,2012
Jab Tak Hai Jaan,7.3,0,0,176.0,2012
Now Is Good,7.3,0,0,103.0,2012
Life of Pi,7.2,120000000,609016565,127.0,2012
End of Watch,7.2,7000000,48126384,109.0,2012
Wreck-It Ralph,7.1,165000000,471222889,108.0,2012
Rise of the Guardians,7.1,145000000,306941670,97.0,2012
Les Misérables,7.1,61000000,441809770,157.0,2012
Argo,7.1,44500000,232324128,120.0,2012
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,7.1,500000,0,88.0,2012
The Hobbit: An Unexpected Journey,7.0,250000000,1021103568,169.0,2012
The Impossible,7.0,42000000,180274123,113.0,2012
The Master,7.0,32000000,28258060,137.0,2012
The Vow,7.0,30000000,196114570,104.0,2012
Chasing Mavericks,7.0,0,0,117.0,2012
Sholem Aleichem: Laughing In The Darkness,7.0,500000,845188,93.0,2012
Skyfall,6.9,200000000,1108561013,143.0,2012
The Hunger Games,6.9,75000000,691210692,142.0,2012
Silver Linings Playbook,6.9,21000000,205738714,122.0,2012
Think Like a Man,6.9,12000000,96070507,122.0,2012
Holy Motors,6.9,0,641100,115.0,2012
The Other Dream Team,6.9,0,0,89.0,2012
Burn,6.9,225000,111300,86.0,2012
Hotel Transylvania,6.8,85000000,358375603,91.0,2012
The Lucky One,6.8,25000000,99357138,101.0,2012
Robot & Frank,6.8,2500000,3325038,85.0,2012
Beasts of the Southern Wild,6.8,1800000,21107746,93.0,2012
Safety Not Guaranteed,6.8,750000,4007792,85.0,2012
Brave,6.7,185000000,538983207,93.0,2012
Lincoln,6.7,65000000,275293450,149.0,2012
ParaNorman,6.7,60000000,107139399,90.0,2012
Zero Dark Thirty,6.7,40000000,132820716,157.0,2012
21 Jump Street,6.7,42000000,201585328,109.0,2012
Step Up Revolution,6.7,33000000,140470746,99.0,2012
Joyful Noise,6.7,0,0,117.0,2012
Seven Psychopaths,6.7,15000000,19422261,110.0,2012
Sinister,6.7,3000000,77712439,110.0,2012
Supporting Characters,6.7,0,0,87.0,2012
Cloud Atlas,6.6,102000000,130482868,172.0,2012
Dredd,6.6,50000000,41037742,95.0,2012
Trouble with the Curve,6.6,0,0,111.0,2012
Big Miracle,6.6,40000000,24719215,107.0,2012
Frankenweenie,6.6,39000000,35287788,87.0,2012
Looper,6.6,30000000,47042000,118.0,2012
Chronicle,6.6,15000000,145000000,84.0,2012
The Sessions,6.6,1000000,9138338,98.0,2012
Middle of Nowhere,6.6,0,0,101.0,2012
The Amazing Spider-Man,6.5,215000000,752215857,136.0,2012
Anna Karenina,6.5,0,68929150,130.0,2012
The Odd Life of Timothy Green,6.5,0,51854875,105.0,2012
Flight,6.5,31000000,161772375,138.0,2012
The Cabin in the Woods,6.5,30000000,66486080,95.0,2012
Project X,6.5,12000000,100000000,88.0,2012
Katy Perry: Part of Me,6.5,12000000,32726956,93.0,2012
Bernie,6.5,5000000,9206470,100.0,2012
The Gatekeepers,6.5,0,0,101.0,2012
Madagascar 3: Europe's Most Wanted,6.4,145000000,746921274,93.0,2012
The Pirates! In an Adventure with Scientists!,6.4,60000000,118338361,88.0,2012
The Grey,6.4,25000000,77278331,117.0,2012
For Greater Glory - The True Story of Cristiada,6.4,12000000,9622846,145.0,2012
The Iceman,6.4,20000000,1969193,105.0,2012
Black November,6.4,12500000,0,95.0,2012
The Words,6.4,6000000,13231461,96.0,2012
Celeste & Jesse Forever,6.4,0,3094813,91.0,2012
Prometheus,6.3,130000000,403170142,124.0,2012
Safe House,6.3,85000000,208076205,115.0,2012
Jack Reacher,6.3,60000000,218340595,130.0,2012
Ted,6.3,50000000,549368315,106.0,2012
Safe,6.3,30000000,40346186,94.0,2012
Act of Valor,6.3,12000000,81272766,110.0,2012
Quartet,6.3,11000000,59520298,98.0,2012
Seeking a Friend for the End of the World,6.3,10000000,9636289,101.0,2012
Compliance,6.3,0,319285,90.0,2012
Men in Black 3,6.2,225000000,624026776,106.0,2012
Ice Age: Continental Drift,6.2,95000000,877244782,88.0,2012
Savages,6.2,45000000,82966152,131.0,2012
Man on a Ledge,6.2,42000000,46221189,102.0,2012
Premium Rush,6.2,35000000,31083599,91.0,2012
Good Deeds,6.2,0,0,111.0,2012
John Carter,6.1,260000000,284139100,132.0,2012
The Twilight Saga: Breaking Dawn - Part 2,6.1,120000000,829000000,115.0,2012
The Expendables 2,6.1,100000000,312573423,103.0,2012
Underworld: Awakening,6.1,70000000,160112671,88.0,2012
American Reunion,6.1,50000000,234989584,113.0,2012
Taken 2,6.1,45000000,376141306,91.0,2012
The Raven,6.1,26000000,29657751,111.0,2012
Contraband,6.1,25000000,63100000,109.0,2012
Cirque du Soleil: Worlds Away,6.1,0,34153101,91.0,2012
The Woman in Black,6.1,17000000,127730736,95.0,2012
