title,rate,budget,revenue,runtime,year
Spirited Away,8.3,15000000,274925095,125.0,2001
The Lord of the Rings: The Fellowship of the Ring,8.0,93000000,871368364,178.0,2001
Amélie,7.8,10000000,173921954,122.0,2001
A Beautiful Mind,7.7,60000000,313542341,135.0,2001
Donnie Darko,7.7,6000000,1270522,113.0,2001
Mulholland Drive,7.6,15000000,20117339,147.0,2001
Harry Potter and the Philosopher's Stone,7.5,125000000,976475550,152.0,2001
"Monsters, Inc.",7.5,115000000,562816256,92.0,2001
Moulin Rouge!,7.4,52500000,179213434,127.0,2001
Blow,7.4,53000000,83282296,124.0,2001
The Royal Tenenbaums,7.4,21000000,71441250,110.0,2001
The Others,7.4,0,0,101.0,2001
Baby Boy,7.4,16000000,29381649,130.0,2001
Hedwig and the Angry Inch,7.4,0,0,95.0,2001
Shrek,7.3,60000000,484409218,90.0,2001
Training Day,7.3,45000000,104876233,122.0,2001
Y Tu Mamá También,7.3,5000000,33616692,106.0,2001
Brigham City,7.3,1000000,852206,119.0,2001
Black Hawk Down,7.2,92000000,172989651,144.0,2001
Ocean's Eleven,7.2,85000000,450717150,116.0,2001
Enemy at the Gates,7.2,68000000,96976270,131.0,2001
I Am Sam,7.2,22000000,92542418,132.0,2001
Life as a House,7.2,18000000,0,125.0,2001
Dogtown and Z-Boys,7.2,0,0,91.0,2001
K-PAX,7.1,48000000,50315140,120.0,2001
Ghost World,7.1,7000000,0,111.0,2001
The Last Castle,7.0,72000000,27642707,131.0,2001
Winged Migration,7.0,35866397,20217080,98.0,2001
Frailty,7.0,11000000,13110448,100.0,2001
Betty Fisher and Other Stories,7.0,0,0,103.0,2001
Nowhere in Africa,7.0,0,0,140.0,2001
Elling,7.0,0,0,89.0,2001
A.I. Artificial Intelligence,6.8,100000000,235926552,146.0,2001
Spy Game,6.8,92000000,143049560,126.0,2001
Gosford Park,6.8,19800000,87754044,137.0,2001
The Believer,6.8,1500000,416925,98.0,2001
Monsoon Wedding,6.8,0,0,114.0,2001
Ali,6.7,107000000,87713825,157.0,2001
Atlantis: The Lost Empire,6.7,120000000,186053725,95.0,2001
The Score,6.7,68000000,71069884,124.0,2001
The Other Side of Heaven,6.7,7000000,4720371,113.0,2001
Bully,6.7,0,480811,113.0,2001
L.I.E.,6.7,700000,1667192,97.0,2001
The Fast and the Furious,6.6,38000000,207283925,106.0,2001
Pearl Harbor,6.6,140000000,449220945,183.0,2001
The Majestic,6.6,72000000,37317558,152.0,2001
From Hell,6.6,35000000,74558115,122.0,2001
A Knight's Tale,6.6,65000000,117487473,132.0,2001
Serendipity,6.6,28000000,77516304,90.0,2001
Two Can Play That Game,6.6,6000000,0,90.0,2001
Crazy/Beautiful,6.6,13000000,16929123,99.0,2001
Recess: School's Out,6.6,10000000,44460850,83.0,2001
Shaolin Soccer,6.6,0,42776760,113.0,2001
Super Troopers,6.6,3000000,18492362,100.0,2001
Vanilla Sky,6.5,68000000,203388341,136.0,2001
Riding in Cars with Boys,6.5,48000000,35743308,132.0,2001
The Pledge,6.5,35000000,29400000,123.0,2001
The Princess Diaries,6.5,37000000,165335153,115.0,2001
The Curse of the Jade Scorpion,6.5,0,0,103.0,2001
Bridget Jones's Diary,6.5,25000000,281929795,97.0,2001
Buffalo Soldiers,6.5,15000000,0,98.0,2001
The Brothers,6.5,0,0,106.0,2001
Lucky Break,6.5,0,0,107.0,2001
Monster's Ball,6.5,4000000,44909486,111.0,2001
The Lost Skeleton of Cadavra,6.5,0,0,90.0,2001
Rush Hour 2,6.4,90000000,347325802,90.0,2001
Sweet November,6.4,40000000,65754228,119.0,2001
The Shipping News,6.4,0,0,111.0,2001
Hearts in Atlantis,6.4,31000000,24185781,101.0,2001
Kiss of the Dragon,6.4,25000000,64437847,98.0,2001
Jay and Silent Bob Strike Back,6.4,22000000,33788161,104.0,2001
High Heels and Low Lifes,6.4,0,0,86.0,2001
Thirteen Conversations About One Thing,6.4,0,0,104.0,2001
In the Bedroom,6.4,1700000,0,130.0,2001
Joy Ride,6.3,23000000,36642838,97.0,2001
Hardball,6.3,32000000,40222729,106.0,2001
Save the Last Dance,6.3,13000000,91038276,112.0,2001
How High,6.3,12000000,31155435,93.0,2001
Made,6.3,5000000,5476060,94.0,2001
Lovely & Amazing,6.3,250000,4186931,91.0,2001
Bandits,6.2,75000000,67631903,123.0,2001
The Tailor of Panama,6.2,21000000,28008462,109.0,2001
Wasabi,6.2,15300000,0,94.0,2001
Iris,6.2,0,0,91.0,2001
Session 9,6.2,1500000,373967,100.0,2001
Swordfish,6.1,102000000,147080413,99.0,2001
Impostor,6.1,40000000,0,102.0,2001
Along Came a Spider,6.1,60000000,105178561,104.0,2001
Zoolander,6.1,28000000,60780981,89.0,2001
Legally Blonde,6.1,18000000,141774679,96.0,2001
All The Queen's Men,6.1,15000000,23000,99.0,2001
Birthday Girl,6.1,13000000,0,93.0,2001
Jeepers Creepers,6.1,10000000,59217789,90.0,2001
The Mummy Returns,6.0,98000000,433013274,130.0,2001
Don't Say a Word,6.0,50000000,100020092,113.0,2001
Rat Race,6.0,48000000,85498534,112.0,2001
Kate & Leopold,6.0,0,0,118.0,2001
Behind Enemy Lines,6.0,40000000,91753202,106.0,2001
Rock Star,6.0,57000000,16991902,105.0,2001
