title,rate,budget,revenue,runtime,year
Inglourious Basterds,7.9,70000000,319131050,153.0,2009
The Secret in Their Eyes,7.8,2000000,33965843,129.0,2009
Up,7.7,175000000,735099082,96.0,2009
Hachi: A Dog's Tale,7.7,16000000,47801389,93.0,2009
City of Life and Death,7.6,12000000,10652498,132.0,2009
Emma,7.6,0,0,240.0,2009
Moon,7.6,5000000,9760104,97.0,2009
My Dog Tulip,7.6,0,246574,83.0,2009
Fantastic Mr. Fox,7.5,40000000,46471023,87.0,2009
Harry Potter and the Half-Blood Prince,7.4,250000000,933959197,153.0,2009
Star Trek,7.4,150000000,385680446,127.0,2009
Silver Medalist,7.4,0,0,99.0,2009
Oceans,7.3,0,19406406,84.0,2009
Coraline,7.3,60000000,124596398,100.0,2009
District 9,7.3,30000000,210819611,112.0,2009
The Secret of Kells,7.3,0,0,75.0,2009
A Single Man,7.3,7000000,0,101.0,2009
Avatar,7.2,237000000,2787965087,162.0,2009
Law Abiding Citizen,7.2,53000000,126690726,109.0,2009
The Boat That Rocked,7.2,50000000,36348784,116.0,2009
The Hangover,7.2,35000000,459270619,100.0,2009
The Blind Side,7.2,29000000,309208309,129.0,2009
Zombieland,7.2,23600000,102391382,88.0,2009
The White Ribbon,7.2,15238800,0,144.0,2009
Enter the Void,7.2,13000000,754249,161.0,2009
(500) Days of Summer,7.2,7500000,60722734,95.0,2009
The Damned United,7.2,10000000,0,97.0,2009
Nowhere Boy,7.2,0,0,98.0,2009
My Sister's Keeper,7.1,30000000,95714875,109.0,2009
The Messenger,7.1,6500000,1521261,113.0,2009
Soul Kitchen,7.1,5000000,17872796,99.0,2009
Watchmen,7.0,130000000,185258983,163.0,2009
Sherlock Holmes,7.0,90000000,524028679,128.0,2009
Invictus,7.0,60000000,122233971,134.0,2009
The Young Victoria,7.0,35000000,27409889,105.0,2009
Capitalism: A Love Story,7.0,20000000,17436509,120.0,2009
Janky Promoters,7.0,10000000,9069,85.0,2009
Red Riding: In the Year of Our Lord 1974,7.0,0,0,102.0,2009
Flying By,7.0,0,0,95.0,2009
Rocket Singh: Salesman of the Year,7.0,1250000,0,156.0,2009
Crying with Laughter,7.0,0,0,93.0,2009
Agora,6.9,70000000,39041505,127.0,2009
Precious,6.9,10000000,47536959,110.0,2009
Triangle,6.9,12000000,0,99.0,2009
I Am Love,6.9,0,0,120.0,2009
Wuthering Heights,6.9,0,0,142.0,2009
City Island,6.9,6000000,6670712,104.0,2009
Adam,6.9,0,2277396,99.0,2009
Fish Tank,6.9,3000000,2357852,123.0,2009
Dogtooth,6.9,0,110197,94.0,2009
Micmacs,6.8,33000000,14000000,100.0,2009
Brothers,6.8,26000000,43318349,104.0,2009
The Road,6.8,32000000,27635305,111.0,2009
Mao's Last Dancer,6.8,25000000,20719451,117.0,2009
Whatever Works,6.8,15000000,35097815,92.0,2009
Crazy Heart,6.8,7000000,39462438,112.0,2009
Bright Star,6.8,8500000,4440055,119.0,2009
An Education,6.8,7500000,26096852,100.0,2009
Ajami,6.8,0,0,120.0,2009
The Princess and the Frog,6.7,105000000,267045765,97.0,2009
This Is It,6.7,60000000,0,111.0,2009
State of Play,6.7,60000000,87784194,127.0,2009
The Proposal,6.7,40000000,317375031,108.0,2009
The Time Traveler's Wife,6.7,39000000,101229792,107.0,2009
Up in the Air,6.7,25000000,163670000,109.0,2009
Away We Go,6.7,17000000,14899417,98.0,2009
Orphan,6.7,20000000,41596251,123.0,2009
The Last Station,6.7,0,0,112.0,2009
Whip It,6.7,15000000,16633035,111.0,2009
Shinjuku Incident,6.7,15000000,0,119.0,2009
Harry Brown,6.7,7300000,10329747,103.0,2009
Mother and Child,6.7,7000000,0,125.0,2009
A Christmas Carol,6.6,200000000,325233863,96.0,2009
The Lovely Bones,6.6,65000000,93525586,136.0,2009
The Soloist,6.6,60000000,31720158,109.0,2009
Julie & Julia,6.6,40000000,129540499,123.0,2009
9,6.6,30000000,48428063,79.0,2009
Me and Orson Welles,6.6,25000000,2336172,114.0,2009
Coco Before Chanel,6.6,0,0,110.0,2009
A Serious Man,6.6,7000000,31430334,105.0,2009
Paa,6.6,3250000,0,133.0,2009
The Loved Ones,6.6,0,0,84.0,2009
Pontypool,6.6,1500000,32000,93.0,2009
Exam,6.6,0,0,101.0,2009
Angels & Demons,6.5,150000000,356613439,138.0,2009
Public Enemies,6.5,80000000,214104620,140.0,2009
Cloudy with a Chance of Meatballs,6.5,100000000,242988466,90.0,2009
Ice Age: Dawn of the Dinosaurs,6.5,90000000,886686817,94.0,2009
"I Love You, Man",6.5,41000000,91636986,105.0,2009
Pandorum,6.5,33000000,20645327,108.0,2009
Bodyguards and Assassins,6.5,23000000,5837674,139.0,2009
Everybody's Fine,6.5,21000000,0,99.0,2009
Tidal Wave,6.5,16000000,11301649,120.0,2009
Ondine,6.5,12000000,1644755,111.0,2009
World's Greatest Dad,6.5,10000000,295750,99.0,2009
Defendor,6.5,3500000,44462,101.0,2009
Where the Wild Things Are,6.4,100000000,100086793,101.0,2009
The Ugly Truth,6.4,38000000,205298907,96.0,2009
Madea Goes to Jail,6.4,0,90508336,103.0,2009
