title,rate,budget,revenue,runtime,year
Me Before You,7.6,20000000,207945075,110.0,2016
Kicks,7.5,0,0,80.0,2016
Wind Walkers,7.5,0,0,93.0,2016
Departure,7.5,0,0,109.0,2016
Deadpool,7.4,58000000,783112979,108.0,2016
Airlift,7.3,4500000,32000000,126.0,2016
Eddie the Eagle,7.2,23000000,46152800,106.0,2016
The Wailing,7.2,0,0,156.0,2016
Captain America: Civil War,7.1,250000000,1153304495,147.0,2016
Nerve,7.1,20000000,83707310,96.0,2016
Race,7.1,5000000,24804129,134.0,2016
13 Hours: The Secret Soldiers of Benghazi,7.0,50000000,69411370,144.0,2016
The Conjuring 2,7.0,40000000,320170008,134.0,2016
Mr. Church,7.0,8000000,0,104.0,2016
Indignation,6.8,0,0,110.0,2016
Two Lovers and a Bear,6.8,0,0,96.0,2016
10 Cloverfield Lane,6.8,15000000,108286421,103.0,2016
The Jungle Book,6.7,175000000,966550600,106.0,2016
Kung Fu Panda 3,6.7,145000000,521170825,95.0,2016
Now You See Me 2,6.7,90000000,334901337,129.0,2016
Miracles from Heaven,6.7,16000000,77000000,117.0,2016
Green Room,6.7,5000000,3220371,95.0,2016
Star Trek Beyond,6.6,185000000,343471816,122.0,2016
Free State of Jones,6.6,50000000,25035950,139.0,2016
The Infiltrator,6.6,25000000,15436808,127.0,2016
Florence Foster Jenkins,6.6,29000000,48902953,110.0,2016
Shin Godzilla,6.5,15000000,77000000,120.0,2016
Alice Through the Looking Glass,6.5,170000000,299370084,113.0,2016
Money Monster,6.5,27000000,93282604,98.0,2016
The Birth of a Nation,6.5,8500000,15861566,120.0,2016
X-Men: Apocalypse,6.4,178000000,543934787,144.0,2016
The Young Messiah,6.4,18500000,6490401,120.0,2016
The Neon Demon,6.4,7000000,1333124,117.0,2016
Warcraft,6.3,160000000,433677183,123.0,2016
The Finest Hours,6.3,80000000,52099090,114.0,2016
Bad Moms,6.3,20000000,183936074,100.0,2016
Lights Out,6.3,4900000,44107032,81.0,2016
The Witch,6.3,3500000,40423945,92.0,2016
Central Intelligence,6.2,50000000,216972543,107.0,2016
Midnight Special,6.2,18000000,6212282,112.0,2016
The Shallows,6.2,17000000,119100758,86.0,2016
Pete's Dragon,6.2,65000000,143695338,102.0,2016
Ride Along 2,6.1,40000000,124827316,102.0,2016
Hands of Stone,6.1,20000000,0,105.0,2016
The Purge: Election Year,6.1,10000000,118587880,105.0,2016
The BFG,6.0,140000000,183345589,120.0,2016
The Huntsman: Winter's War,6.0,115000000,164602163,114.0,2016
The Monkey King 2,6.0,68490000,193677158,120.0,2016
Our Kind of Traitor,6.0,0,9930095,108.0,2016
Keanu,6.0,15000000,20566327,94.0,2016
The Country Doctor,6.0,0,0,102.0,2016
Alleluia! The Devil's Carnival,6.0,0,0,0.0,2016
Suicide Squad,5.9,175000000,745000000,123.0,2016
Jason Bourne,5.9,120000000,415484914,123.0,2016
Allegiant,5.9,110000000,179246868,121.0,2016
The Secret Life of Pets,5.9,75000000,875958308,87.0,2016
The Angry Birds Movie,5.9,73000000,349779543,97.0,2016
How to Be Single,5.9,38000000,112343513,110.0,2016
Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,135000000,245623848,112.0,2016
London Has Fallen,5.8,60000000,205754447,99.0,2016
Operation Chromite,5.8,0,0,110.0,2016
The Boy,5.8,10000000,64188367,97.0,2016
Batman v Superman: Dawn of Justice,5.7,250000000,873260194,151.0,2016
Criminal,5.7,31500000,14708696,113.0,2016
"Hail, Caesar!",5.7,22000000,63647656,106.0,2016
Risen,5.7,20000000,46069568,107.0,2016
Dirty Grandpa,5.7,11500000,94073028,102.0,2016
God's Not Dead 2,5.7,5000000,23507567,121.0,2016
The 5th Wave,5.6,38000000,109906372,112.0,2016
Neighbors 2: Sorority Rising,5.6,35000000,108758521,91.0,2016
Sausage Party,5.6,19000000,140752617,83.0,2016
Triple 9,5.6,20000000,12639297,115.0,2016
The Legend of Tarzan,5.5,180000000,356743061,109.0,2016
The Boss,5.5,29000000,78636257,91.0,2016
Pride and Prejudice and Zombies,5.5,28000000,16374328,108.0,2016
My Big Fat Greek Wedding 2,5.5,18000000,88923251,94.0,2016
Rodeo Girl,5.5,0,0,108.0,2016
Jane Got a Gun,5.4,25000000,1397284,98.0,2016
Creative Control,5.4,1000000,0,97.0,2016
Ghostbusters,5.3,144000000,229147509,116.0,2016
Gods of Egypt,5.3,140000000,150680864,127.0,2016
Ben-Hur,5.3,100000000,94061311,125.0,2016
Restoration,5.3,0,0,90.0,2016
Misconduct,5.3,11000000,0,106.0,2016
The Dog Lover,5.3,2000000,0,101.0,2016
The Perfect Match,5.2,0,0,96.0,2016
Compadres,5.2,3000000,0,101.0,2016
Adulterers,5.2,750000,0,80.0,2016
Fight to the Finish,5.2,0,0,94.0,2016
Independence Day: Resurgence,4.9,165000000,389681935,120.0,2016
The Forest,4.8,10000000,40055439,95.0,2016
Antibirth,4.8,35000000,0,94.0,2016
Zoolander 2,4.7,50000000,55969000,100.0,2016
Yoga Hosers,4.7,5000000,0,88.0,2016
I Am Wrath,4.5,18000000,0,92.0,2016
The Veil,4.5,4000000,0,93.0,2016
Kickboxer: Vengeance,4.5,17000000,0,90.0,2016
Cabin Fever,4.4,0,0,99.0,2016
Fifty Shades of Black,4.3,20000000,21164799,92.0,2016
