title,rate,budget,revenue,runtime,year
The Dark Knight,8.2,185000000,1004558444,152.0,2008
Dolphins and Whales: Tribes of the Ocean,8.0,6000000,7518876,42.0,2008
Call + Response,8.0,0,0,86.0,2008
WALL·E,7.8,180000000,521311860,98.0,2008
Gran Torino,7.8,33000000,269958228,116.0,2008
Waltz with Bashir,7.8,2000000,11125849,90.0,2008
The Boy in the Striped Pyjamas,7.7,12500000,20416563,94.0,2008
Slumdog Millionaire,7.6,15000000,377910544,120.0,2008
Seven Pounds,7.5,55000000,168167691,123.0,2008
Ponyo,7.5,41677699,187479518,100.0,2008
The Wave,7.5,7500000,19000000,107.0,2008
Man on Wire,7.5,0,2957978,94.0,2008
Iron Man,7.4,140000000,585174222,126.0,2008
"Synecdoche, New York",7.4,21000000,0,124.0,2008
In Bruges,7.4,15000000,34533783,107.0,2008
The Secret Life of Bees,7.4,11000000,38105395,114.0,2008
"Food, Inc.",7.4,0,0,94.0,2008
The Curious Case of Benjamin Button,7.3,150000000,333932083,166.0,2008
Changeling,7.3,55000000,113020255,141.0,2008
The Wrestler,7.3,6000000,44703995,109.0,2008
The Reader,7.2,32000000,113019290,124.0,2008
Frost/Nixon,7.2,0,0,122.0,2008
Taken,7.2,25000000,226830568,93.0,2008
The Hurt Locker,7.2,15000000,42000000,131.0,2008
Religulous,7.2,0,0,101.0,2008
Shine a Light,7.2,0,0,122.0,2008
Red Cliff,7.1,80341000,127814609,150.0,2008
The Express,7.1,40000000,9793496,130.0,2008
Milk,7.1,20000000,54586584,128.0,2008
The Baader Meinhof Complex,7.1,27000000,0,150.0,2008
"The Good, The Bad, The Weird",7.1,10000000,0,130.0,2008
Doubt,7.0,20000000,50907234,104.0,2008
Fuel,7.0,0,0,90.0,2008
Under the Same Moon,7.0,0,23311391,106.0,2008
Fireproof,7.0,500000,33456317,122.0,2008
Kung Fu Panda,6.9,130000000,631744560,90.0,2008
Marley & Me,6.9,60000000,244082376,115.0,2008
RockNRolla,6.9,18000000,25739015,114.0,2008
Cadillac Records,6.9,12000000,0,109.0,2008
Stargate: The Ark of Truth,6.9,7000000,8900000,97.0,2008
Bronson,6.9,230000,2260712,92.0,2008
The Brothers Bloom,6.8,20000000,5530764,114.0,2008
Welcome to the Sticks,6.8,11000000,53191886,106.0,2008
Flame & Citron,6.8,6500000,0,130.0,2008
Winter in Wartime,6.8,4000000,530048,103.0,2008
The Class,6.8,0,28814580,128.0,2008
Gangster's Paradise: Jerusalema,6.8,0,0,120.0,2008
Trucker,6.8,2000000,0,90.0,2008
Valkyrie,6.7,75000000,200276000,121.0,2008
Revolutionary Road,6.7,35000000,75225693,119.0,2008
The Duchess,6.7,0,0,110.0,2008
Vicky Cristina Barcelona,6.7,15000000,96408652,96.0,2008
Repo! The Genetic Opera,6.7,0,188126,98.0,2008
"Definitely, Maybe",6.7,0,55447968,112.0,2008
Roadside Romeo,6.7,7000000,1100000,93.0,2008
Eden Lake,6.7,0,3983997,91.0,2008
Frozen River,6.7,0,0,97.0,2008
Pineapple Express,6.6,27000000,101624843,111.0,2008
The Bank Job,6.6,20000000,64822796,112.0,2008
Three Kingdoms: Resurrection of the Dragon,6.6,0,0,102.0,2008
Two Lovers,6.6,12000000,3148182,110.0,2008
Bottle Shock,6.6,5000000,4040588,110.0,2008
Standard Operating Procedure,6.6,0,0,117.0,2008
Tropic Thunder,6.5,92000000,188072649,107.0,2008
Hellboy II: The Golden Army,6.5,85000000,160388063,120.0,2008
Body of Lies,6.5,70000000,113280098,128.0,2008
Step Brothers,6.5,65000000,128107642,98.0,2008
Burn After Reading,6.5,37000000,163720069,96.0,2008
21,6.5,35000000,69823199,123.0,2008
The Longshots,6.5,0,0,94.0,2008
The Children of Huang Shi,6.5,40000000,7400000,125.0,2008
Step Up 2: The Streets,6.5,23000000,150816700,98.0,2008
Dragon Hunters,6.5,15000000,0,80.0,2008
Transsiberian,6.5,15000000,5926410,111.0,2008
Charlie Bartlett,6.5,12000000,0,97.0,2008
Sunshine Cleaning,6.5,5000000,16174377,102.0,2008
Snow Angels,6.5,0,414404,106.0,2008
Wanted,6.4,75000000,258270008,110.0,2008
Mamma Mia!,6.4,52000000,609841637,108.0,2008
Yes Man,6.4,70000000,225990978,104.0,2008
The Other Boleyn Girl,6.4,35000000,0,115.0,2008
Forgetting Sarah Marshall,6.4,30000000,105173115,111.0,2008
Role Models,6.4,28000000,92380927,99.0,2008
Cloverfield,6.4,25000000,170764026,85.0,2008
Blindness,6.4,25000000,19844979,121.0,2008
Never Back Down,6.4,20000000,41627431,115.0,2008
Ghost Town,6.4,0,0,102.0,2008
The Yellow Handkerchief,6.4,15000000,317000,102.0,2008
Nick and Norah's Infinite Playlist,6.4,9000000,32973937,89.0,2008
Kit Kittredge: An American Girl,6.4,0,0,101.0,2008
Adam Resurrected,6.4,10000000,0,106.0,2008
Redbelt,6.4,7000000,0,99.0,2008
Wendy and Lucy,6.4,200000,0,80.0,2008
The Chronicles of Narnia: Prince Caspian,6.3,225000000,419651413,150.0,2008
Bolt,6.3,150000000,309979994,98.0,2008
Australia,6.3,130000000,49554002,165.0,2008
The Spiderwick Chronicles,6.3,90000000,162839667,95.0,2008
Eagle Eye,6.3,80000000,178066569,118.0,2008
The Forbidden Kingdom,6.3,55000000,127906624,104.0,2008
