title,rate,budget,revenue,runtime,year
The Visual Bible: The Gospel of John,8.2,10000000,4069090,125.0,2003
The Lord of the Rings: The Return of the King,8.1,94000000,1118888979,201.0,2003
Oldboy,8.0,3000000,14980005,120.0,2003
Tupac: Resurrection,8.0,300000,7808524,112.0,2003
Kill Bill: Vol. 1,7.7,30000000,180949000,111.0,2003
Finding Nemo,7.6,94000000,940335536,100.0,2003
Big Fish,7.6,70000000,122919055,125.0,2003
Mystic River,7.6,25000000,156822020,138.0,2003
Touching the Void,7.6,0,13885802,106.0,2003
Pirates of the Caribbean: The Curse of the Black Pearl,7.5,140000000,655011224,143.0,2003
Tarnation,7.5,218,1162014,91.0,2003
The Return,7.4,0,0,105.0,2003
"Good bye, Lenin!",7.4,4800000,79384880,121.0,2003
The Station Agent,7.4,500000,8679814,88.0,2003
The Last Samurai,7.3,140000000,456758981,154.0,2003
The Life of David Gale,7.3,50000000,38955598,130.0,2003
Lost in Translation,7.3,4000000,119723856,102.0,2003
The Triplets of Belleville,7.3,8000000,1477676,80.0,2003
The Mudge Boy,7.3,800000,62852,94.0,2003
21 Grams,7.2,20000000,60427839,124.0,2003
My Life Without Me,7.2,0,9726954,106.0,2003
Identity,7.1,30000000,90259536,90.0,2003
Whale Rider,7.1,8000000,41400000,101.0,2003
American Splendor,7.1,0,6003587,101.0,2003
Love Actually,7.0,40000000,244931766,135.0,2003
Open Range,7.0,22000000,68296293,139.0,2003
House of Sand and Fog,7.0,16500000,16942795,126.0,2003
Monster,7.0,8000000,60378584,110.0,2003
Master and Commander: The Far Side of the World,6.9,150000000,212011111,138.0,2003
Secondhand Lions,6.9,0,0,111.0,2003
Evil Words,6.9,0,0,100.0,2003
X2,6.8,110000000,407711549,133.0,2003
Radio,6.8,32000000,52277485,109.0,2003
Veronica Guerin,6.8,17000000,1569918,98.0,2003
Owning Mahowny,6.8,0,0,104.0,2003
11:14,6.8,6000000,0,86.0,2003
Travellers and Magicians,6.8,0,0,108.0,2003
Flywheel,6.8,0,0,120.0,2003
The Matrix Reloaded,6.7,150000000,738599701,138.0,2003
Seabiscuit,6.7,87000000,148336445,141.0,2003
Cold Mountain,6.7,79000000,173013509,154.0,2003
Beyond Borders,6.7,35000000,0,127.0,2003
School of Rock,6.7,35000000,131282949,108.0,2003
Holes,6.7,20000000,0,117.0,2003
The Barbarian Invasions,6.7,8000000,3432342,99.0,2003
The Cooler,6.7,32000000,0,101.0,2003
Thirteen,6.7,2000000,4601043,100.0,2003
Northfork,6.7,0,0,103.0,2003
Latter Days,6.7,850000,819939,107.0,2003
The Italian Job,6.6,60000000,176070171,110.0,2003
Sinbad: Legend of the Seven Seas,6.6,60000000,26288320,86.0,2003
Old School,6.6,24000000,87055349,91.0,2003
Underworld,6.6,22000000,95708457,121.0,2003
Silmido,6.6,8000000,0,135.0,2003
A Mighty Wind,6.6,6000000,18750246,91.0,2003
Shattered Glass,6.6,6000000,2944752,94.0,2003
High Tension,6.6,0,0,91.0,2003
Saints and Soldiers,6.6,780000,0,90.0,2003
Mona Lisa Smile,6.5,65000000,0,117.0,2003
Bad Santa,6.5,23000000,76488889,91.0,2003
I Love Your Work,6.5,0,0,111.0,2003
The Matrix Revolutions,6.4,150000000,424988211,129.0,2003
The Rundown,6.4,85000000,80916492,104.0,2003
Bruce Almighty,6.4,80000000,484572835,101.0,2003
Tears of the Sun,6.4,70000000,85632458,121.0,2003
Elf,6.4,32000000,173398518,97.0,2003
Under the Tuscan Sun,6.4,0,0,113.0,2003
Confidence,6.4,0,0,97.0,2003
Girl with a Pearl Earring,6.4,0,31466789,101.0,2003
Swimming Pool,6.4,7800000,22441323,102.0,2003
Pieces of April,6.4,300000,0,81.0,2003
Bad Boys II,6.3,130000000,273339556,147.0,2003
Something's Gotta Give,6.3,80000000,266728738,128.0,2003
How to Lose a Guy in 10 Days,6.3,50000000,177371441,116.0,2003
Chasing Papi,6.3,0,6126237,80.0,2003
Osama,6.3,46000,0,83.0,2003
2 Fast 2 Furious,6.2,76000000,236350661,107.0,2003
Basic,6.2,50000000,42792561,98.0,2003
Once Upon a Time in Mexico,6.2,29000000,98185582,102.0,2003
Anything Else,6.2,0,0,108.0,2003
Code 46,6.2,7500000,0,92.0,2003
Wonderland,6.2,5000000,2466444,104.0,2003
Gods and Generals,6.1,56000000,12923936,214.0,2003
Out of Time,6.1,50000000,55495563,105.0,2003
Shade,6.1,6800000,0,101.0,2003
DysFunktional Family,6.1,0,0,89.0,2003
American Wedding,6.0,55000000,231449203,103.0,2003
The Hunted,6.0,55000000,34234008,94.0,2003
Shanghai Knights,6.0,50000000,88323487,115.0,2003
Johnny English,6.0,40000000,160583018,88.0,2003
Cheaper by the Dozen,6.0,40000000,190212113,98.0,2003
The Good Thief,6.0,0,0,108.0,2003
Freaky Friday,6.0,26000000,110230332,97.0,2003
Honey,6.0,18000000,62646763,94.0,2003
Wrong Turn,6.0,12600000,28650575,84.0,2003
House of 1000 Corpses,6.0,7000000,16829545,89.0,2003
Grand Theft Parsons,6.0,0,0,88.0,2003
Terminator 3: Rise of the Machines,5.9,200000000,435000000,109.0,2003
Paycheck,5.9,60000000,96269812,119.0,2003
