title,rate,budget,revenue,runtime,year
Inception,8.1,160000000,825532764,148.0,2010
Incendies,7.9,6800000,7103838,130.0,2010
Shutter Island,7.8,80000000,294804195,138.0,2010
My Name Is Khan,7.7,12000000,42345360,145.0,2010
Inside Job,7.7,2000000,7871522,109.0,2010
Toy Story 3,7.6,200000000,1066969703,103.0,2010
The King's Speech,7.6,15000000,414211549,118.0,2010
How to Train Your Dragon,7.5,165000000,494878759,98.0,2010
Tangled,7.4,260000000,591794936,100.0,2010
Flipped,7.4,14000000,1755212,89.0,2010
Black Swan,7.3,13000000,327803731,108.0,2010
Beneath Hill 60,7.3,7347125,0,122.0,2010
Tucker and Dale vs Evil,7.3,5000000,5476793,89.0,2010
The Names of Love,7.3,4600000,0,100.0,2010
Scott Pilgrim vs. the World,7.2,60000000,47664559,112.0,2010
True Grit,7.2,38000000,252276927,110.0,2010
Barney's Version,7.2,30000000,8454301,134.0,2010
Sarah's Key,7.2,10000000,17511906,111.0,2010
The Fighter,7.2,25000000,93617009,116.0,2010
Despicable Me,7.1,69000000,543513985,95.0,2010
The Social Network,7.1,40000000,224920315,120.0,2010
Kick-Ass,7.1,28000000,96188903,117.0,2010
Little White Lies,7.1,25000000,48531470,154.0,2010
"Fat, Sick & Nearly Dead",7.1,0,0,97.0,2010
The Town,7.0,37000000,154026136,125.0,2010
Biutiful,7.0,0,25147786,148.0,2010
For Colored Girls,7.0,0,37000000,134.0,2010
127 Hours,7.0,18000000,35692920,94.0,2010
Loose Cannons,7.0,7000000,8220215,110.0,2010
Another Year,7.0,8000000,18124262,129.0,2010
Four Lions,7.0,967686,4270000,101.0,2010
Burlesque,6.9,55000000,89519773,119.0,2010
The Next Three Days,6.9,30000000,51148651,133.0,2010
The Last Song,6.9,0,0,107.0,2010
Remember Me,6.9,20000000,0,113.0,2010
It's Kind of a Funny Story,6.9,8000000,6491240,101.0,2010
Rabbit Hole,6.9,5000000,5129058,91.0,2010
Blue Valentine,6.9,3500000,16566240,112.0,2010
Charlie St. Cloud,6.8,44000000,48190704,99.0,2010
Secretariat,6.8,35000000,60251371,123.0,2010
Never Let Me Go,6.8,15000000,9455232,104.0,2010
Beginners,6.8,3200000,5332926,105.0,2010
Winter's Bone,6.8,2000000,13831503,100.0,2010
Insidious,6.8,1500000,97009150,103.0,2010
Megamind,6.7,130000000,321887208,95.0,2010
The Ghost Writer,6.7,45000000,60222298,128.0,2010
Let Me In,6.7,20000000,24145613,116.0,2010
Carlos,6.7,18000000,871279,338.0,2010
Reign of Assassins,6.7,12000000,0,117.0,2010
Gunless,6.7,10000000,0,89.0,2010
Easy A,6.7,8000000,74952305,92.0,2010
Hesher,6.7,7000000,382946,106.0,2010
Troll Hunter,6.7,3500000,4159678,103.0,2010
Iron Man 2,6.6,200000000,623933331,124.0,2010
The Book of Eli,6.6,80000000,157107755,118.0,2010
RED,6.6,58000000,71664962,111.0,2010
Letters to Juliet,6.6,30000000,0,105.0,2010
Step Up 3D,6.6,30000000,159291809,107.0,2010
Love & Other Drugs,6.6,30000000,102820008,112.0,2010
Dear John,6.6,25000000,114977104,115.0,2010
Made in Dagenham,6.6,7200000,0,113.0,2010
Trust,6.6,9500000,120000,104.0,2010
Freakonomics,6.6,3000000,103735,93.0,2010
Super,6.6,2500000,324138,96.0,2010
Buried,6.6,1987650,19152480,94.0,2010
Legend of the Guardians: The Owls of Ga'Hoole,6.5,80000000,140073390,97.0,2010
Fair Game,6.5,22000000,24188922,108.0,2010
Get Low,6.5,7500000,0,103.0,2010
Of Gods and Men,6.5,4000000,41424067,120.0,2010
Easy Money,6.5,0,0,124.0,2010
The Kids Are All Right,6.5,3500000,34705850,106.0,2010
Letters to God,6.5,0,0,110.0,2010
Meek's Cutoff,6.5,0,876302,104.0,2010
Alice in Wonderland,6.4,200000000,1025491110,108.0,2010
Green Zone,6.4,100000000,94882889,115.0,2010
Jackass 3D,6.4,20000000,117224271,94.0,2010
Leap Year,6.4,19000000,29922472,100.0,2010
Welcome to the Rileys,6.4,0,42145,110.0,2010
Wild Target,6.4,8000000,3453043,98.0,2010
TRON: Legacy,6.3,170000000,400062763,125.0,2010
Unstoppable,6.3,100000000,167805466,98.0,2010
The Warrior's Way,6.3,42000000,11087569,100.0,2010
Space Dogs,6.3,25000000,6500000,85.0,2010
The Debt,6.3,20000000,45636368,113.0,2010
Machete,6.3,20000000,31327899,105.0,2010
The Perfect Game,6.3,12500000,3878993,118.0,2010
Space Battleship Yamato,6.3,12000000,11212294,131.0,2010
The Runaways,6.3,10000000,2995811,106.0,2010
Barry Munday,6.3,0,0,95.0,2010
I Spit on Your Grave,6.3,2000000,572809,108.0,2010
Three,6.3,0,2611555,119.0,2010
Robin Hood,6.2,200000000,310669540,140.0,2010
Prince of Persia: The Sands of Time,6.2,150000000,335154643,116.0,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,155000000,415686217,113.0,2010
Salt,6.2,110000000,293329073,100.0,2010
Due Date,6.2,65000000,211780824,95.0,2010
Edge of Darkness,6.2,80000000,74901339,117.0,2010
Repo Men,6.2,32000000,18409891,111.0,2010
The Losers,6.2,25000000,23580000,97.0,2010
