title,rate,budget,revenue,runtime,year
Star Wars: Clone Wars: Volume 1,8.0,0,0,69.0,2005
The Work and the Glory II: American Zion,8.0,6500000,2025032,100.0,2005
Pride & Prejudice,7.7,28000000,121147947,135.0,2005
Harry Potter and the Goblet of Fire,7.5,150000000,895921036,157.0,2005
Batman Begins,7.5,150000000,374218673,140.0,2005
Brokeback Mountain,7.5,14000000,178043761,134.0,2005
Cavite,7.5,0,0,80.0,2005
Serenity,7.4,39000000,38869464,119.0,2005
Sympathy for Lady Vengeance,7.4,0,23803308,115.0,2005
Cinderella Man,7.3,88000000,108539911,144.0,2005
Memoirs of a Geisha,7.3,85000000,162242962,145.0,2005
Coach Carter,7.3,30000000,76669806,136.0,2005
Walk the Line,7.3,28000000,186438883,136.0,2005
The World's Fastest Indian,7.3,25000000,0,127.0,2005
Match Point,7.3,15000000,85306374,124.0,2005
Sisters in Law,7.3,0,0,104.0,2005
Sin City,7.2,40000000,158733820,124.0,2005
Corpse Bride,7.2,40000000,117195061,77.0,2005
Joyeux Noël,7.2,22000000,17709155,116.0,2005
Kiss Kiss Bang Bang,7.2,15000000,15785148,103.0,2005
Mad Hot Ballroom,7.2,0,0,105.0,2005
Star Wars: Episode III - Revenge of the Sith,7.1,113000000,850000000,140.0,2005
The Proposition,7.1,2000000,5048693,104.0,2005
Thank You for Smoking,7.1,6500000,24793509,92.0,2005
Lord of War,7.0,42000000,24127895,122.0,2005
Lords of Dogtown,7.0,25000000,13411957,107.0,2005
The Three Burials of Melquiades Estrada,7.0,15000000,12036149,121.0,2005
Imagine Me & You,7.0,0,2455831,93.0,2005
Me and You and Everyone We Know,7.0,0,0,90.0,2005
The Motel,7.0,0,0,75.0,2005
Munich,6.9,70000000,130358911,164.0,2005
A History of Violence,6.9,32000000,60740827,96.0,2005
The Greatest Game Ever Played,6.9,25000000,15431177,120.0,2005
The White Countess,6.9,0,0,135.0,2005
Manderlay,6.9,14200000,674918,139.0,2005
Duma,6.9,12000000,0,100.0,2005
March of the Penguins,6.9,8000000,127392239,80.0,2005
Tsotsi,6.9,3000000,9879971,94.0,2005
Hustle & Flow,6.9,8000000,23563727,116.0,2005
The Squid and the Whale,6.9,1500000,11098131,81.0,2005
Wal-Mart: The High Cost of Low Price,6.9,0,0,98.0,2005
Transamerica,6.9,1000000,13350369,103.0,2005
Murderball,6.9,300000,1750211,88.0,2005
The Call of Cthulhu,6.9,50000,0,47.0,2005
The Great Raid,6.8,80000000,10166502,132.0,2005
The Curse of the Were-Rabbit,6.8,30000000,192452832,85.0,2005
North Country,6.8,35000000,25224242,126.0,2005
The Jacket,6.8,29000000,21126225,103.0,2005
The Constant Gardener,6.8,25000000,82466670,129.0,2005
"Good Night, and Good Luck.",6.8,7000000,54600000,93.0,2005
Capote,6.8,7000000,49084830,114.0,2005
The Descent,6.8,0,0,99.0,2005
The Protector,6.8,6000000,27165581,108.0,2005
Water,6.8,0,10422387,115.0,2005
Boynton Beach Club,6.8,0,0,105.0,2005
Inside Deep Throat,6.8,2000000,653621,92.0,2005
Fetching Cody,6.8,1,0,87.0,2005
Hard Candy,6.8,950000,7022209,103.0,2005
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,180000000,748806957,143.0,2005
Charlie and the Chocolate Factory,6.7,150000000,474968763,115.0,2005
Oliver Twist,6.7,50000000,42093706,130.0,2005
Rent,6.7,40000000,31670620,135.0,2005
Four Brothers,6.7,45000000,92374674,109.0,2005
An Unfinished Life,6.7,30000000,18618284,108.0,2005
The Chumscrubber,6.7,0,0,108.0,2005
The House of Sand,6.7,0,0,115.0,2005
King Kong,6.6,207000000,550000000,187.0,2005
Kingdom of Heaven,6.6,130000000,211643158,144.0,2005
Madagascar,6.6,75000000,532680671,86.0,2005
Jarhead,6.6,72000000,96889998,125.0,2005
The Hitchhiker's Guide to the Galaxy,6.6,50000000,104478416,109.0,2005
Unleashed,6.6,45000000,50871113,103.0,2005
Goal!: The Dream Begins,6.6,30000000,27610873,118.0,2005
The Devil's Rejects,6.6,0,0,107.0,2005
Mirrormask,6.6,4000000,866999,101.0,2005
Mr. & Mrs. Smith,6.5,110000000,478207520,120.0,2005
The Island,6.5,126000000,162949164,136.0,2005
Just Like Heaven,6.5,58000000,102854431,95.0,2005
A Lot Like Love,6.5,30000000,42886719,107.0,2005
Fateless,6.5,0,0,140.0,2005
The Ballad of Jack and Rose,6.5,1500000,712294,111.0,2005
Hitch,6.4,70000000,368100420,118.0,2005
The Skeleton Key,6.4,43000000,91974818,104.0,2005
The New World,6.4,30000000,30536013,135.0,2005
Nanny McPhee,6.4,25000000,122489822,97.0,2005
Pooh's Heffalump Movie,6.4,0,0,68.0,2005
Mrs Henderson Presents,6.4,0,0,103.0,2005
The Upside of Anger,6.4,0,0,118.0,2005
Diary of a Mad Black Woman,6.4,0,0,116.0,2005
Dave Chappelle's Block Party,6.4,3000000,11718595,100.0,2005
Lonesome Jim,6.4,0,0,91.0,2005
"Peace, Propaganda & the Promised Land",6.4,0,0,80.0,2005
Syriana,6.3,50000000,94000000,128.0,2005
Get Rich or Die Tryin',6.3,40000000,46442528,117.0,2005
Dreamer: Inspired By a True Story,6.3,0,0,106.0,2005
The Sisterhood of the Traveling Pants,6.3,25000000,39053061,119.0,2005
The Exorcism of Emily Rose,6.3,19000000,144216468,122.0,2005
Wah-Wah,6.3,0,0,120.0,2005
Saw II,6.3,4000000,152925093,92.0,2005
