title,rate,budget,revenue,runtime,year
Little Big Top,10.0,0,0,0.0,2006
The Prestige,8.0,40000000,109676311,130.0,2006
Lake of Fire,8.0,0,25,152.0,2006
Iraq for Sale: The War Profiteers,8.0,0,0,75.0,2006
The Departed,7.9,90000000,289847354,151.0,2006
The Lives of Others,7.9,2000000,70000000,137.0,2006
The Pursuit of Happyness,7.7,55000000,307077295,117.0,2006
V for Vendetta,7.7,54000000,132511035,132.0,2006
Pan's Labyrinth,7.6,19000000,83258226,118.0,2006
Lage Raho Munna Bhai,7.6,0,0,144.0,2006
The Bubble,7.6,0,0,114.0,2006
Little Miss Sunshine,7.5,8000000,100523181,102.0,2006
Children of Men,7.4,76000000,69959751,109.0,2006
Lucky Number Slevin,7.4,27000000,56308881,110.0,2006
The Last King of Scotland,7.4,6000000,48027970,121.0,2006
This Is England,7.4,2380000,8176544,101.0,2006
Casino Royale,7.3,150000000,599045960,144.0,2006
Blood Diamond,7.3,100000000,170877916,143.0,2006
Inside Man,7.3,45000000,184376254,129.0,2006
Apocalypto,7.3,40000000,120175290,139.0,2006
Peaceful Warrior,7.3,0,0,120.0,2006
Volver,7.3,12899867,85582407,121.0,2006
Wordplay,7.3,0,0,94.0,2006
Glory Road,7.2,0,42647449,118.0,2006
Black Book,7.2,21000000,26193068,145.0,2006
Letters from Iwo Jima,7.2,19000000,68673228,141.0,2006
Rang De Basanti,7.2,2200000,11502151,157.0,2006
Who Killed the Electric Car?,7.2,1000000,1678874,92.0,2006
Perfume: The Story of a Murderer,7.1,50000000,132180323,147.0,2006
Stranger Than Fiction,7.1,30000000,53653224,113.0,2006
The Painted Veil,7.1,19400000,0,125.0,2006
The Illusionist,7.1,40000000,86915017,110.0,2006
The Wind That Shakes the Barley,7.1,6500000,22889018,124.0,2006
Pirates of the Caribbean: Dead Man's Chest,7.0,200000000,1065659812,151.0,2006
300,7.0,65000000,422610419,117.0,2006
The Devil Wears Prada,7.0,35000000,326551094,109.0,2006
Running Scared,7.0,17000000,9500000,122.0,2006
I Served the King of England,7.0,0,0,120.0,2006
Exiled,7.0,4500000,0,110.0,2006
Valley of the Heart's Delight,7.0,0,0,100.0,2006
Scott Walker: 30 Century Man,7.0,0,0,95.0,2006
Quinceañera,7.0,0,0,90.0,2006
Notes on a Scandal,6.9,15000000,49469904,92.0,2006
The Magic Flute,6.9,0,0,133.0,2006
Babel,6.9,25000000,135330182,143.0,2006
United 93,6.9,15000000,76286096,111.0,2006
Little Children,6.9,26000000,14821658,136.0,2006
Rescue Dawn,6.9,10000000,7177143,126.0,2006
Clerks II,6.9,5000000,26888376,97.0,2006
Crazy Stone,6.9,0,0,98.0,2006
The Fountain,6.8,35000000,15304890,96.0,2006
A Scanner Darkly,6.8,8700000,7659918,100.0,2006
The Queen,6.8,15000000,123384128,103.0,2006
"Paris, je t'aime",6.8,13000000,4857367,120.0,2006
The Ultimate Gift,6.8,0,0,114.0,2006
The Namesake,6.8,12000000,20138836,122.0,2006
51 Birch Street,6.8,0,0,90.0,2006
The Holiday,6.7,85000000,194168700,136.0,2006
We Are Marshall,6.7,65000000,43545364,124.0,2006
Flags of Our Fathers,6.7,90000000,65900249,132.0,2006
Eight Below,6.7,40000000,120455994,120.0,2006
Renaissance,6.7,18000000,1831348,105.0,2006
Step Up,6.7,12000000,114194847,104.0,2006
The Host,6.7,11000000,88489643,119.0,2006
Akeelah and the Bee,6.7,8000000,18948425,112.0,2006
Winter Passing,6.7,3500000,113783,98.0,2006
Bella,6.7,0,0,91.0,2006
An Inconvenient Truth,6.7,1000000,46243000,100.0,2006
Wristcutters: A Love Story,6.7,0,0,88.0,2006
Dreamgirls,6.6,70000000,154937680,134.0,2006
Cars,6.6,120000000,461983149,117.0,2006
Curse of the Golden Flower,6.6,110,0,114.0,2006
Take the Lead,6.6,30000000,34742066,108.0,2006
Black Snake Moan,6.6,15000000,10903846,116.0,2006
Crank,6.6,12000000,42931041,88.0,2006
Fido,6.6,8000000,426224,91.0,2006
Grandma's Boy,6.6,0,6538177,94.0,2006
The History Boys,6.6,4000000,13401952,109.0,2006
Special,6.6,1000000,7202,81.0,2006
Facing the Giants,6.6,100000,10178331,111.0,2006
Mission: Impossible III,6.5,150000000,397850012,126.0,2006
The Da Vinci Code,6.5,125000000,767820459,149.0,2006
Ice Age: The Meltdown,6.5,80000000,660940780,91.0,2006
The Lake House,6.5,40000000,114830111,99.0,2006
Marie Antoinette,6.5,40000000,60474340,123.0,2006
A Good Year,6.5,35000000,42064105,118.0,2006
Gridiron Gang,6.5,30000000,41480851,125.0,2006
Rocky Balboa,6.5,24000000,155721132,102.0,2006
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,6.5,18000000,261572744,82.0,2006
Find Me Guilty,6.5,13000000,2636637,125.0,2006
Bon Cop Bad Cop,6.5,8000000,12671300,116.0,2006
London to Brighton,6.5,0,0,85.0,2006
Half Nelson,6.5,700000,4911725,107.0,2006
Last Holiday,6.4,45000000,38399961,112.0,2006
Underworld: Evolution,6.4,50000000,111340801,106.0,2006
The Nativity Story,6.4,35000000,0,101.0,2006
She's the Man,6.4,20000000,33889159,105.0,2006
The Hoax,6.4,25000000,11772461,116.0,2006
Smokin' Aces,6.4,17000000,57103895,109.0,2006
