title,rate,budget,revenue,runtime,year
Me You and Five Bucks,10.0,1,0,90.0,2015
Sardaarji,9.5,0,0,0.0,2015
Counting,8.3,50000,0,111.0,2015
Room,8.1,6000000,35401758,117.0,2015
Inside Out,8.0,175000000,857611174,94.0,2015
Karachi se Lahore,8.0,0,0,0.0,2015
Spotlight,7.8,20000000,88346473,128.0,2015
The Second Mother,7.8,0,0,110.0,2015
Straight Outta Compton,7.7,28000000,201634991,147.0,2015
The Martian,7.6,108000000,630161890,141.0,2015
The Little Prince,7.6,64000000,97571250,92.0,2015
The Hateful Eight,7.6,44000000,155760117,167.0,2015
Ex Machina,7.6,15000000,36869414,108.0,2015
Baahubali: The Beginning,7.5,40000000,100000000,159.0,2015
The Age of Adaline,7.4,25000000,65663276,112.0,2015
"McFarland, USA",7.4,0,45710059,128.0,2015
Avengers: Age of Ultron,7.3,280000000,1405403694,141.0,2015
Furious 7,7.3,190000000,1506249360,137.0,2015
The Revenant,7.3,135000000,532950503,156.0,2015
Creed,7.3,37000000,173567581,133.0,2015
The Longest Ride,7.3,34000000,63013281,128.0,2015
Southpaw,7.3,30000000,91709827,123.0,2015
The Big Short,7.3,28000000,133346506,130.0,2015
Chiamatemi Francesco - Il Papa della gente,7.3,15000000,0,nan,2015
Woman in Gold,7.3,11000000,61619773,120.0,2015
Mad Max: Fury Road,7.2,150000000,378858340,120.0,2015
Bridge of Spies,7.2,40000000,165478348,141.0,2015
Sicario,7.2,30000000,84025816,121.0,2015
Brooklyn,7.2,11000000,62076141,111.0,2015
Dope,7.2,700000,17986781,103.0,2015
Mission: Impossible - Rogue Nation,7.1,150000000,682330139,131.0,2015
The Man from U.N.C.L.E.,7.1,75000000,108145109,116.0,2015
The Intern,7.1,35000000,194564672,121.0,2015
Freeheld,7.1,7000000,573335,103.0,2015
Ant-Man,7.0,130000000,519311965,117.0,2015
Concussion,7.0,35000000,50363790,123.0,2015
Little Boy,7.0,20000000,6420319,106.0,2015
Anomalisa,7.0,8000000,5659286,90.0,2015
The Looking Glass,7.0,0,0,110.0,2015
The Walk,6.9,35000000,61181942,123.0,2015
R.L. Stine's Monsterville: The Cabinet of Souls,6.9,4400000,0,85.0,2015
Brotherly Love,6.9,1900000,0,89.0,2015
Home,6.8,135000000,368871007,94.0,2015
Pitch Perfect 2,6.8,29000000,287506194,115.0,2015
Max,6.8,20000000,43967255,111.0,2015
My All American,6.8,20000000,0,118.0,2015
Steve Jobs,6.8,30000000,34441873,122.0,2015
The DUFF,6.8,8500000,43528634,100.0,2015
To Write Love on Her Arms,6.8,3400000,0,118.0,2015
The Diary of a Teenage Girl,6.8,2000000,1477002,98.0,2015
Cinderella,6.7,95000000,543514353,105.0,2015
Hotel Transylvania 2,6.7,80000000,473226958,89.0,2015
Focus,6.7,50100000,153962963,105.0,2015
Everest,6.7,55000000,203427584,121.0,2015
Legend,6.7,25000000,42972994,131.0,2015
The Gift,6.7,5000000,58978653,108.0,2015
No Escape,6.7,5000000,54418872,103.0,2015
Vaalu,6.7,0,0,155.0,2015
The Good Dinosaur,6.6,175000000,331926147,93.0,2015
The Hunger Games: Mockingjay - Part 2,6.6,160000000,653428261,137.0,2015
Chappie,6.6,49000000,104399548,120.0,2015
The Assassin,6.6,15000000,632542,105.0,2015
Danny Collins,6.6,10000000,10835752,107.0,2015
Slow West,6.6,0,229094,84.0,2015
Do You Believe?,6.6,0,0,115.0,2015
It Follows,6.6,2000000,14674076,100.0,2015
Road Hard,6.6,1500000,0,97.0,2015
Jurassic World,6.5,150000000,1513528810,124.0,2015
In the Heart of the Sea,6.5,100000000,93820758,122.0,2015
The Peanuts Movie,6.5,99000000,246233113,88.0,2015
Ip Man 3,6.5,36000000,156844753,105.0,2015
The Sisterhood of Night,6.5,0,0,104.0,2015
Evolution,6.4,0,0,81.0,2015
Minions,6.4,74000000,1156730962,91.0,2015
Maze Runner: The Scorch Trials,6.4,61000000,311256926,132.0,2015
Joy,6.4,60000000,101134059,124.0,2015
Savva. Heart of the Warrior,6.4,30000000,0,85.0,2015
Project Almanac,6.4,12000000,32248241,106.0,2015
A LEGO Brickumentary,6.4,650000,0,93.0,2015
Spectre,6.3,245000000,880674609,148.0,2015
Black Mass,6.3,53000000,98837872,122.0,2015
Run All Night,6.3,50000000,71561644,114.0,2015
Self/less,6.3,26000000,30523226,116.0,2015
Burnt,6.3,20000000,36606743,100.0,2015
Magic Mike XXL,6.3,14800000,122513057,115.0,2015
A Tale of Three Cities,6.3,0,0,130.0,2015
The Second Best Exotic Marigold Hotel,6.3,10000000,85978266,122.0,2015
We Are Your Friends,6.3,6000000,11122090,96.0,2015
Tomorrowland,6.2,190000000,209154322,130.0,2015
Insurgent,6.2,110000000,295238201,119.0,2015
Ted 2,6.2,68000000,217022588,115.0,2015
Goosebumps,6.2,58000000,158162788,103.0,2015
Vacation,6.2,31000000,104384188,99.0,2015
Secret in Their Eyes,6.2,19500000,34854990,111.0,2015
Insidious: Chapter 3,6.2,10000000,104303851,97.0,2015
Goddess of Love,6.2,0,0,96.0,2015
Bizarre,6.2,0,0,99.0,2015
Child 44,6.1,50000000,3324330,137.0,2015
Paper Towns,6.1,12000000,85512300,109.0,2015
