title,rate,budget,revenue,runtime,year
City of God,8.1,3300000,30641770,130.0,2002
The Lord of the Rings: The Two Towers,8.0,79000000,926287400,179.0,2002
The Pianist,8.0,35000000,120072577,150.0,2002
The Jimmy Show,8.0,0,0,96.0,2002
The Business of Fancydancing,8.0,200000,0,103.0,2002
Raising Victor Vargas,7.8,800000,2816116,88.0,2002
Catch Me If You Can,7.7,52000000,352114312,141.0,2002
The Heart of Me,7.7,7000000,0,96.0,2002
Lilya 4-ever,7.7,0,0,109.0,2002
A Walk to Remember,7.5,11000000,41227069,101.0,2002
The Singles Ward,7.5,0,0,102.0,2002
Harry Potter and the Chamber of Secrets,7.4,100000000,876688482,161.0,2002
Spirit: Stallion of the Cimarron,7.4,80000000,122563539,83.0,2002
Road to Perdition,7.3,80000000,181001478,117.0,2002
The Bourne Identity,7.3,60000000,214034224,119.0,2002
The Count of Monte Cristo,7.3,35000000,75395048,131.0,2002
Adaptation.,7.3,19000000,32801173,114.0,2002
Frida,7.3,12000000,56298474,123.0,2002
Bowling for Columbine,7.3,4000000,35564473,120.0,2002
Treasure Planet,7.2,140000000,109578115,95.0,2002
Hero,7.2,31000000,177394432,99.0,2002
White Oleander,7.2,0,0,109.0,2002
Morvern Callar,7.2,0,0,97.0,2002
25th Hour,7.2,15000000,13060843,135.0,2002
Bloody Sunday,7.2,0,773228,107.0,2002
Minority Report,7.1,102000000,358372926,145.0,2002
Gangs of New York,7.1,100000000,193772504,167.0,2002
Lilo & Stitch,7.1,80000000,145771527,85.0,2002
Ice Age,7.1,59000000,383257136,81.0,2002
Amen.,7.1,0,0,132.0,2002
28 Days Later,7.1,5000000,82719885,113.0,2002
Irreversible,7.1,0,792,97.0,2002
Mondays in the Sun,7.1,4000000,146402,113.0,2002
John Q,7.0,36000000,102244770,116.0,2002
The Hours,7.0,25000000,41597830,114.0,2002
Salton Sea,7.0,18000000,676698,103.0,2002
All or Nothing,7.0,9000000,0,128.0,2002
Brown Sugar,7.0,8000000,27362712,109.0,2002
The Spanish Apartment,7.0,5300000,3897799,122.0,2002
Chicago,6.9,45000000,306776732,113.0,2002
Punch-Drunk Love,6.9,25000000,17000000,95.0,2002
Equilibrium,6.9,20000000,5359645,107.0,2002
Far from Heaven,6.9,13500000,29027914,107.0,2002
The Emperor's Club,6.9,0,0,108.0,2002
8 Women,6.9,8000000,0,111.0,2002
Dracula: Pages from a Virgin's Diary,6.9,1596010,0,75.0,2002
Spider-Man,6.8,139000000,821708551,121.0,2002
Insomnia,6.8,46000000,113714830,118.0,2002
8 Mile,6.8,41000000,215000000,110.0,2002
Dirty Pretty Things,6.8,0,0,97.0,2002
Nicholas Nickleby,6.8,0,0,132.0,2002
Narc,6.8,6500000,12633747,105.0,2002
Rabbit-Proof Fence,6.8,0,0,94.0,2002
Red Dragon,6.7,78000000,209196298,124.0,2002
We Were Soldiers,6.7,75000000,114660784,138.0,2002
About Schmidt,6.7,30000000,105834556,125.0,2002
The Importance of Being Earnest,6.7,0,0,97.0,2002
Antwone Fisher,6.7,12500000,23367586,120.0,2002
Cypher,6.7,7500000,0,95.0,2002
Phone Booth,6.7,13000000,97837138,81.0,2002
Secretary,6.7,4000000,9304609,104.0,2002
Bubba Ho-tep,6.7,1000000,0,92.0,2002
Blue Car,6.7,1000000,464000,92.0,2002
Ripley's Game,6.6,30000000,0,110.0,2002
Confessions of a Dangerous Mind,6.6,30000000,33013805,113.0,2002
About a Boy,6.6,27000000,129000000,101.0,2002
The Transporter,6.6,21000000,43928932,92.0,2002
One Hour Photo,6.6,12000000,52223306,96.0,2002
Spun,6.6,2000000,0,101.0,2002
Panic Room,6.5,48000000,196397415,111.0,2002
The Four Feathers,6.5,35000000,29882645,132.0,2002
The Rookie,6.5,20000000,75597042,127.0,2002
Moonlight Mile,6.5,21000000,10011050,117.0,2002
Dark Blue,6.5,15000000,9237470,118.0,2002
Igby Goes Down,6.5,9000000,4777465,97.0,2002
Poolhall Junkies,6.5,0,0,99.0,2002
Better Luck Tomorrow,6.5,0,0,101.0,2002
Star Wars: Episode II - Attack of the Clones,6.4,120000000,649398328,142.0,2002
Signs,6.4,72000000,408247917,106.0,2002
Resident Evil,6.4,33000000,102984862,100.0,2002
The Quiet American,6.4,30000000,27674124,101.0,2002
Hollywood Ending,6.4,16000000,0,112.0,2002
Tuck Everlasting,6.4,0,0,90.0,2002
Jonah: A VeggieTales Movie,6.4,0,0,82.0,2002
The Dangerous Lives of Altar Boys,6.4,0,0,104.0,2002
Spider,6.4,0,0,98.0,2002
Stolen Summer,6.4,0,0,91.0,2002
Unfaithful,6.3,50000000,119137784,124.0,2002
Big Trouble,6.3,40000000,8493890,85.0,2002
The Rules of Attraction,6.3,4000000,0,110.0,2002
May,6.3,500000,150277,93.0,2002
Funny Ha Ha,6.3,0,76901,85.0,2002
Blade II,6.2,54000000,155010032,117.0,2002
Enough,6.2,38000000,51801187,114.0,2002
Femme Fatale,6.2,35000000,16838910,114.0,2002
Drumline,6.2,20000000,57588485,118.0,2002
Barbershop,6.2,12000000,75781642,102.0,2002
Welcome to Collinwood,6.2,1200000,0,86.0,2002
Gerry,6.2,3500000,0,103.0,2002
