title,rate,budget,revenue,runtime,year
Samsara,8.0,4000000,0,102.0,2011
Polisse,7.9,0,20374201,127.0,2011
The Help,7.8,25000000,124272124,146.0,2011
Warrior,7.7,25000000,23057115,140.0,2011
A Separation,7.7,800000,0,123.0,2011
Kevin Hart: Laugh at My Pain,7.7,0,0,89.0,2011
Midnight in Paris,7.4,30000000,151119219,94.0,2011
Drive,7.4,15000000,78054825,100.0,2011
We Need to Talk About Kevin,7.4,7000000,6038942,112.0,2011
Submarine,7.4,0,864659,97.0,2011
Circumstance,7.4,0,0,107.0,2011
Weekend,7.4,8000,469947,96.0,2011
The Artist,7.3,15000000,133432856,100.0,2011
The Raid,7.3,1100000,4105187,101.0,2011
The Girl with the Dragon Tattoo,7.2,90000000,232617430,158.0,2011
X-Men: First Class,7.1,160000000,353624124,132.0,2011
Fast Five,7.1,125000000,626137675,130.0,2011
The Flowers of War,7.1,94000000,95311434,145.0,2011
Source Code,7.1,32000000,147332697,93.0,2011
Red Dog,7.1,0,0,92.0,2011
Headhunters,7.1,0,15699707,100.0,2011
Take Shelter,7.1,5000000,3099314,120.0,2011
Hugo,7.0,170000000,185770160,126.0,2011
Sherlock Holmes: A Game of Shadows,7.0,125000000,334615000,129.0,2011
Rise of the Planet of the Apes,7.0,93000000,482860185,105.0,2011
War Horse,7.0,66000000,177584879,146.0,2011
"Crazy, Stupid, Love.",7.0,50000000,142851197,118.0,2011
Moneyball,7.0,50000000,110206216,133.0,2011
The Lincoln Lawyer,7.0,40000000,85412898,119.0,2011
Carnage,7.0,25000000,27603069,80.0,2011
One Day,7.0,15000000,59389433,107.0,2011
A Better Life,7.0,10000000,1759252,98.0,2011
Melancholia,7.0,7400000,21817298,136.0,2011
50/50,7.0,8000000,39187783,100.0,2011
Shame,7.0,6500000,17693675,100.0,2011
Sleep Tight,7.0,5000000,0,107.0,2011
Extremely Loud & Incredibly Close,6.9,40000000,55247881,129.0,2011
Soul Surfer,6.9,18000000,47088990,106.0,2011
The Best Exotic Marigold Hotel,6.9,10000000,136836156,124.0,2011
Mission: Impossible - Ghost Protocol,6.8,145000000,694713380,133.0,2011
Winnie the Pooh,6.8,30000000,14460000,63.0,2011
Glee: The Concert Movie,6.8,9000000,18663238,84.0,2011
The Guard,6.8,6000000,19560274,96.0,2011
Le Havre,6.8,3850000,0,93.0,2011
Courageous,6.8,1000000,34522221,129.0,2011
"Pink Ribbons, Inc.",6.8,900000,25000,97.0,2011
October Baby,6.8,0,5355847,107.0,2011
Another Earth,6.8,100000,1776935,92.0,2011
Kung Fu Panda 2,6.7,150000000,665692281,91.0,2011
The Adventures of Tintin,6.7,130000000,371940071,107.0,2011
Arthur Christmas,6.7,0,0,97.0,2011
Water for Elephants,6.7,38000000,114156230,120.0,2011
Dolphin Tale,6.7,37000000,95404397,113.0,2011
In Time,6.7,40000000,173930596,109.0,2011
The Descendants,6.7,20000000,177243185,115.0,2011
Margin Call,6.7,3500000,19504039,107.0,2011
Martha Marcy May Marlene,6.7,0,3538446,101.0,2011
Thor,6.6,150000000,449326618,115.0,2011
Captain America: The First Avenger,6.6,140000000,370569774,124.0,2011
Rango,6.6,135000000,245724603,107.0,2011
Real Steel,6.6,110000000,299268508,127.0,2011
Super 8,6.6,50000000,260095987,112.0,2011
Tinker Tailor Soldier Spy,6.6,30000000,0,127.0,2011
My Week with Marilyn,6.6,6400000,35057696,99.0,2011
Blackthorn,6.6,0,623528,98.0,2011
Rio,6.5,90000000,484635760,96.0,2011
The Adjustment Bureau,6.5,50200000,127869379,106.0,2011
We Bought a Zoo,6.5,50000000,120081841,124.0,2011
The Muppets,6.5,45000000,165184237,103.0,2011
Unknown,6.5,30000000,130786397,113.0,2011
Paul,6.5,40000000,97552050,104.0,2011
Colombiana,6.5,40000000,60965854,108.0,2011
A Monster in Paris,6.5,25000000,0,90.0,2011
Horrible Bosses,6.5,35000000,117000000,98.0,2011
Friends with Benefits,6.5,35000000,150483765,109.0,2011
The Tree of Life,6.5,32000000,54674226,139.0,2011
Bridesmaids,6.5,32500000,288383523,125.0,2011
Hanna,6.5,30000000,63782078,111.0,2011
The Ides of March,6.5,12500000,75993061,101.0,2011
The Devil's Double,6.5,19100000,5728213,109.0,2011
Killer Joe,6.5,10000000,3665069,102.0,2011
The Art of Getting By,6.5,0,1406224,83.0,2011
Enter Nowhere,6.5,0,0,90.0,2011
The Grace Card,6.5,200000,2295733,101.0,2011
Your Sister's Sister,6.5,125000,3200000,90.0,2011
Pirates of the Caribbean: On Stranger Tides,6.4,380000000,1045713802,136.0,2011
Puss in Boots,6.4,130000000,554987477,90.0,2011
Machine Gun Preacher,6.4,30000000,2527904,129.0,2011
The Greatest Movie Ever Sold,6.4,0,621951,87.0,2011
Like Crazy,6.4,250000,3542353,90.0,2011
Just Go with It,6.3,80000000,214918407,117.0,2011
The Mechanic,6.3,40000000,51070807,93.0,2011
Anonymous,6.3,30000000,15395087,130.0,2011
The Beaver,6.3,21000000,970816,91.0,2011
Diary of a Wimpy Kid: Rodrick Rules,6.3,21000000,72417394,99.0,2011
Attack the Block,6.3,14350531,3964682,88.0,2011
The Awakening,6.3,4798235,209696,107.0,2011
Sound of My Voice,6.3,0,0,85.0,2011
The Hangover Part II,6.2,80000000,254455986,102.0,2011
