title,rate,budget,revenue,runtime,year
Memento,8.1,9000000,39723096,113.0,2000
Gladiator,7.9,103000000,457640427,155.0,2000
Requiem for a Dream,7.9,4500000,7390108,102.0,2000
Snatch,7.7,10000000,83557872,103.0,2000
Dancer in the Dark,7.6,12800000,40031879,140.0,2000
Amores perros,7.6,2000000,20908467,154.0,2000
Cast Away,7.5,90000000,429632142,143.0,2000
Michael Jordan to the Max,7.5,0,21268532,46.0,2000
Almost Famous,7.4,60000000,47383689,122.0,2000
Remember the Titans,7.4,30000000,136706683,113.0,2000
Love & Basketball,7.4,20000000,27728118,124.0,2000
Billy Elliot,7.4,5000000,110000000,110.0,2000
Nine Queens,7.4,1500000,0,114.0,2000
"O Brother, Where Art Thou?",7.3,26000000,71868327,106.0,2000
American Psycho,7.3,7000000,34266564,102.0,2000
The Emperor's New Groove,7.2,100000000,169327687,78.0,2000
"Crouching Tiger, Hidden Dragon",7.2,17000000,213525736,120.0,2000
Erin Brockovich,7.1,52000000,256271286,131.0,2000
Dinner Rush,7.1,0,0,99.0,2000
The Road to El Dorado,7.0,95000000,76432727,89.0,2000
Finding Forrester,7.0,43000000,80049764,136.0,2000
Pay It Forward,7.0,40000000,55707411,122.0,2000
Men of Honor,7.0,32000000,48814909,129.0,2000
Frequency,7.0,31000000,68106245,118.0,2000
High Fidelity,7.0,30000000,47126295,113.0,2000
Aberdeen,7.0,0,0,113.0,2000
Sexy Beast,7.0,5000000,0,89.0,2000
Thirteen Days,6.9,80000000,34566746,145.0,2000
Unbreakable,6.9,75000000,248118121,106.0,2000
Traffic,6.9,48000000,207515725,147.0,2000
Wonder Boys,6.9,35000000,0,111.0,2000
Where the Heart Is,6.9,15000000,33771174,120.0,2000
The Patriot,6.8,110000000,215294342,165.0,2000
X-Men,6.8,75000000,296339527,104.0,2000
Chocolat,6.8,25000000,152500343,121.0,2000
Center Stage,6.8,18000000,17200925,115.0,2000
Quills,6.8,13500000,7060876,124.0,2000
Brother,6.8,12000000,15250000,114.0,2000
You Can Count on Me,6.8,0,0,111.0,2000
Pitch Black,6.7,23000000,53187659,108.0,2000
The Widow of Saint-Pierre,6.7,0,0,112.0,2000
The Contender,6.7,9000000,0,126.0,2000
Best in Show,6.7,0,0,90.0,2000
Meet the Parents,6.6,55000000,330444045,108.0,2000
Shadow of the Vampire,6.6,8000000,8279017,92.0,2000
Pollock,6.6,0,0,122.0,2000
The Circle,6.6,0,0,90.0,2000
The Family Man,6.5,60000000,0,125.0,2000
Chicken Run,6.5,45000000,224834564,84.0,2000
Boiler Room,6.5,26000000,28780255,118.0,2000
My Dog Skip,6.5,7000000,0,95.0,2000
The Basket,6.5,0,619042,105.0,2000
Final Destination,6.4,23000000,53302314,98.0,2000
The Crew,6.4,0,0,88.0,2000
Small Time Crooks,6.4,0,0,94.0,2000
The House of Mirth,6.4,10000000,5164404,140.0,2000
Next Friday,6.4,11000000,59827328,98.0,2000
The Way of the Gun,6.4,8500000,19125401,119.0,2000
George Washington,6.4,0,0,89.0,2000
What Lies Beneath,6.3,100000000,155464351,130.0,2000
Titan A.E.,6.3,75000000,36754634,94.0,2000
Space Cowboys,6.3,65000000,128884132,130.0,2000
The Legend of Bagger Vance,6.3,80000000,39459427,126.0,2000
The Beach,6.3,40000000,144056873,119.0,2000
The Tigger Movie,6.3,30000000,45554533,77.0,2000
Bamboozled,6.3,0,0,135.0,2000
The Original Kings of Comedy,6.3,0,0,115.0,2000
The Broken Hearts Club: A Romantic Comedy,6.3,1000000,1744858,94.0,2000
Dinosaur,6.2,127500000,354248063,82.0,2000
How the Grinch Stole Christmas,6.2,123000000,345141403,104.0,2000
The Perfect Storm,6.2,120000000,325756637,130.0,2000
Shanghai Noon,6.2,55000000,56932305,110.0,2000
The Whole Nine Yards,6.2,41300000,106371651,98.0,2000
Cecil B. Demented,6.2,10000000,0,87.0,2000
Digimon: The Movie,6.2,5500000,0,82.0,2000
Gone in Sixty Seconds,6.1,90000000,237202299,118.0,2000
What Women Want,6.1,70000000,374111707,127.0,2000
U-571,6.1,62000000,127666415,116.0,2000
"Me, Myself & Irene",6.1,51000000,149270999,116.0,2000
The Replacements,6.1,0,0,118.0,2000
Miss Congeniality,6.1,45000000,212000000,111.0,2000
Return to Me,6.1,24000000,36609995,115.0,2000
The Little Vampire,6.1,22000000,13555988,95.0,2000
Anatomy,6.1,0,0,103.0,2000
Fiza,6.1,1000000,623791,170.0,2000
Deterrence,6.1,0,0,101.0,2000
The Kid,6.0,65000000,69700000,104.0,2000
Proof of Life,6.0,65000000,0,135.0,2000
28 Days,6.0,43000000,0,103.0,2000
The Cell,6.0,33000000,104155843,107.0,2000
Rugrats in Paris: The Movie,6.0,30,103,78.0,2000
Romeo Must Die,6.0,25000000,91036760,115.0,2000
The Yards,6.0,0,0,115.0,2000
Psycho Beach Party,6.0,1500000,0,95.0,2000
An Everlasting Piece,6.0,0,0,103.0,2000
Mission: Impossible II,5.9,125000000,546388105,123.0,2000
Vertical Limit,5.9,75000000,215663859,124.0,2000
Keeping the Faith,5.9,30000000,37036004,127.0,2000
Nurse Betty,5.9,24000000,0,108.0,2000
