title,rate,budget,revenue,runtime,year
Quantum of Solace,6.1,200000000,586090727,106.0,2008
The Chronicles of Narnia: Prince Caspian,6.3,225000000,419651413,150.0,2008
Indiana Jones and the Kingdom of the Crystal Skull,5.7,185000000,786636033,122.0,2008
WALL·E,7.8,180000000,521311860,98.0,2008
The Dark Knight,8.2,185000000,1004558444,152.0,2008
Iron Man,7.4,140000000,585174222,126.0,2008
The Mummy: Tomb of the Dragon Emperor,5.2,145000000,401128639,112.0,2008
The Curious Case of Benjamin Button,7.3,150000000,333932083,166.0,2008
Hancock,6.2,150000000,624029371,92.0,2008
Madagascar: Escape 2 Africa,6.2,150000000,603900354,89.0,2008
Bolt,6.3,150000000,309979994,98.0,2008
The Incredible Hulk,6.1,150000000,163712074,114.0,2008
Kung Fu Panda,6.9,130000000,631744560,90.0,2008
Australia,6.3,130000000,49554002,165.0,2008
Speed Racer,5.7,120000000,93945766,135.0,2008
Asterix at the Olympic Games,5.0,97250400,132900000,116.0,2008
The Spiderwick Chronicles,6.3,90000000,162839667,95.0,2008
Tropic Thunder,6.5,92000000,188072649,107.0,2008
Valkyrie,6.7,75000000,200276000,121.0,2008
You Don't Mess with the Zohan,5.5,90000000,201596308,113.0,2008
Jumper,5.9,85000000,222231186,88.0,2008
Hellboy II: The Golden Army,6.5,85000000,160388063,120.0,2008
Get Smart,6.0,80000000,230685453,110.0,2008
Four Christmases,5.3,80000000,163733697,88.0,2008
Bedtime Stories,5.9,80000000,212874442,99.0,2008
Eagle Eye,6.3,80000000,178066569,118.0,2008
The Day the Earth Stood Still,5.2,80000000,233093859,104.0,2008
Wanted,6.4,75000000,258270008,110.0,2008
Fool's Gold,5.4,70000000,111231041,112.0,2008
Body of Lies,6.5,70000000,113280098,128.0,2008
Step Brothers,6.5,65000000,128107642,98.0,2008
Death Race,6.0,45000000,73762516,105.0,2008
The Love Guru,4.3,62000000,41819064,87.0,2008
Marley & Me,6.9,60000000,244082376,115.0,2008
The Happening,4.9,60000000,163403799,91.0,2008
The Tale of Despereaux,5.8,60000000,50877145,93.0,2008
Righteous Kill,5.9,60000000,73174566,101.0,2008
Meet Dave,5.0,60000000,50650079,90.0,2008
Inkheart,6.0,60000000,57490374,106.0,2008
The Spirit,4.7,60000000,39031337,103.0,2008
Leatherheads,5.7,58000000,41299492,114.0,2008
The Forbidden Kingdom,6.3,55000000,127906624,104.0,2008
Semi-Pro,5.4,0,33472850,91.0,2008
Changeling,7.3,55000000,113020255,141.0,2008
Seven Pounds,7.5,55000000,168167691,123.0,2008
Mamma Mia!,6.4,52000000,609841637,108.0,2008
Yes Man,6.4,70000000,225990978,104.0,2008
Journey to the Center of the Earth,5.8,45000000,101702060,93.0,2008
Revolutionary Road,6.7,35000000,75225693,119.0,2008
Babylon A.D.,5.4,70000000,72108608,101.0,2008
