title,rate,budget,revenue,runtime,year
Terminator 3: Rise of the Machines,5.9,200000000,435000000,109.0,2003
The Matrix Revolutions,6.4,150000000,424988211,129.0,2003
The Matrix Reloaded,6.7,150000000,738599701,138.0,2003
The Last Samurai,7.3,140000000,456758981,154.0,2003
Hulk,5.3,137000000,245360480,138.0,2003
Master and Commander: The Far Side of the World,6.9,150000000,212011111,138.0,2003
Bad Boys II,6.3,130000000,273339556,147.0,2003
Pirates of the Caribbean: The Curse of the Black Pearl,7.5,140000000,655011224,143.0,2003
X2,6.8,110000000,407711549,133.0,2003
Charlie's Angels: Full Throttle,5.2,120000000,259175788,106.0,2003
The Cat in the Hat,4.9,0,0,82.0,2003
Finding Nemo,7.6,94000000,940335536,100.0,2003
The Lord of the Rings: The Return of the King,8.1,94000000,1118888979,201.0,2003
The Haunted Mansion,5.2,90000000,182290266,99.0,2003
Lara Croft Tomb Raider: The Cradle of Life,5.5,95000000,156505388,117.0,2003
Seabiscuit,6.7,87000000,148336445,141.0,2003
The Rundown,6.4,85000000,80916492,104.0,2003
The Core,5.4,60000000,74208267,136.0,2003
Bruce Almighty,6.4,80000000,484572835,101.0,2003
Something's Gotta Give,6.3,80000000,266728738,128.0,2003
Cold Mountain,6.7,79000000,173013509,154.0,2003
Looney Tunes: Back in Action,5.6,80000000,68514844,90.0,2003
Timeline,5.4,80000000,19480739,116.0,2003
2 Fast 2 Furious,6.2,76000000,236350661,107.0,2003
The League of Extraordinary Gentlemen,5.7,78000000,179265204,110.0,2003
Tears of the Sun,6.4,70000000,85632458,121.0,2003
Hollywood Homicide,5.0,75000000,51142659,116.0,2003
S.W.A.T.,5.8,80000000,116643346,117.0,2003
Big Fish,7.6,70000000,122919055,125.0,2003
Dreamcatcher,5.3,68000000,75715436,136.0,2003
Mona Lisa Smile,6.5,65000000,0,117.0,2003
Daddy Day Care,5.6,60000000,164433867,92.0,2003
The Italian Job,6.6,60000000,176070171,110.0,2003
Kangaroo Jack,4.3,0,0,89.0,2003
Paycheck,5.9,60000000,96269812,119.0,2003
Intolerable Cruelty,5.8,60000000,119940815,100.0,2003
Sinbad: Legend of the Seven Seas,6.6,60000000,26288320,86.0,2003
Beyond Borders,6.7,35000000,0,127.0,2003
American Wedding,6.0,55000000,231449203,103.0,2003
Kill Bill: Vol. 1,7.7,30000000,180949000,111.0,2003
The Hunted,6.0,55000000,34234008,94.0,2003
Stuck on You,5.1,55000000,33828318,118.0,2003
Gods and Generals,6.1,56000000,12923936,214.0,2003
Gigli,3.5,54000000,7266209,121.0,2003
Bulletproof Monk,5.1,52000000,0,104.0,2003
How to Lose a Guy in 10 Days,6.3,50000000,177371441,116.0,2003
Shanghai Knights,6.0,50000000,88323487,115.0,2003
Out of Time,6.1,50000000,55495563,105.0,2003
Basic,6.2,50000000,42792561,98.0,2003
The Life of David Gale,7.3,50000000,38955598,130.0,2003
Scary Movie 3,5.8,48000000,220673217,84.0,2003
Love Actually,7.0,40000000,244931766,135.0,2003
Johnny English,6.0,40000000,160583018,88.0,2003
The Medallion,5.3,41000000,0,88.0,2003
Spy Kids 3-D: Game Over,4.7,38000000,197011982,84.0,2003
Cheaper by the Dozen,6.0,40000000,190212113,98.0,2003
Gothika,5.8,40000000,141591324,98.0,2003
Duplex,5.9,40000000,19322135,89.0,2003
A Man Apart,5.8,36000000,44350926,109.0,2003
Head of State,5.3,0,0,95.0,2003
Radio,6.8,32000000,52277485,109.0,2003
The Order,4.8,35000000,11560806,102.0,2003
Elf,6.4,32000000,173398518,97.0,2003
Mystic River,7.6,25000000,156822020,138.0,2003
Secondhand Lions,6.9,0,0,111.0,2003
Dumb and Dumberer: When Harry Met Lloyd,4.1,19000000,39267515,85.0,2003
Alex & Emma,5.0,30000000,15368897,96.0,2003
The Good Thief,6.0,0,0,108.0,2003
Once Upon a Time in Mexico,6.2,29000000,98185582,102.0,2003
Identity,7.1,30000000,90259536,90.0,2003
The Statement,5.9,0,0,120.0,2003
Freaky Friday,6.0,26000000,110230332,97.0,2003
Open Range,7.0,22000000,68296293,139.0,2003
Final Destination 2,5.9,26000000,90426405,90.0,2003
Freddy vs. Jason,5.8,30000000,114908830,97.0,2003
"Legally Blonde 2: Red, White & Blonde",5.1,45000000,124914842,95.0,2003
Agent Cody Banks,5.0,28000000,58795814,102.0,2003
Rugrats Go Wild,5.6,0,0,84.0,2003
What a Girl Wants,5.8,0,0,105.0,2003
Jeepers Creepers 2,5.5,17000000,63102666,104.0,2003
Cradle 2 the Grave,5.8,25000000,56489558,101.0,2003
Old School,6.6,24000000,87055349,91.0,2003
Underworld,6.6,22000000,95708457,121.0,2003
Bringing Down the House,5.4,20000000,132675402,105.0,2003
School of Rock,6.7,35000000,131282949,108.0,2003
Holes,6.7,20000000,0,117.0,2003
The Jungle Book 2,5.6,20000000,135680000,72.0,2003
21 Grams,7.2,20000000,60427839,124.0,2003
A Guy Thing,5.3,20000000,17432163,101.0,2003
Willard,5.8,22000000,0,100.0,2003
Bon voyage,5.7,0,0,114.0,2003
