title,rate,budget,revenue,runtime,year
Pirates of the Caribbean: On Stranger Tides,6.4,380000000,1045713802,136.0,2011
Cars 2,5.8,200000000,559852396,106.0,2011
Green Lantern,5.1,200000000,219851172,114.0,2011
Transformers: Dark of the Moon,6.1,195000000,1123746996,154.0,2011
Hugo,7.0,170000000,185770160,126.0,2011
X-Men: First Class,7.1,160000000,353624124,132.0,2011
Thor,6.6,150000000,449326618,115.0,2011
Kung Fu Panda 2,6.7,150000000,665692281,91.0,2011
Mars Needs Moms,5.5,150000000,38992758,88.0,2011
Mission: Impossible - Ghost Protocol,6.8,145000000,694713380,133.0,2011
Captain America: The First Avenger,6.6,140000000,370569774,124.0,2011
Happy Feet Two,5.8,130000000,150406466,100.0,2011
Rango,6.6,135000000,245724603,107.0,2011
Puss in Boots,6.4,130000000,554987477,90.0,2011
The Adventures of Tintin,6.7,130000000,371940071,107.0,2011
Fast Five,7.1,125000000,626137675,130.0,2011
Sherlock Holmes: A Game of Shadows,7.0,125000000,334615000,129.0,2011
The Green Hornet,5.5,120000000,227817248,119.0,2011
The Smurfs,5.5,110000000,563749323,103.0,2011
Real Steel,6.6,110000000,299268508,127.0,2011
The Flowers of War,7.1,94000000,95311434,145.0,2011
Rise of the Planet of the Apes,7.0,93000000,482860185,105.0,2011
The Girl with the Dragon Tattoo,7.2,90000000,232617430,158.0,2011
Rio,6.5,90000000,484635760,96.0,2011
The Three Musketeers,5.6,75000000,132274484,110.0,2011
Tower Heist,5.8,75000000,152930623,104.0,2011
Arthur Christmas,6.7,0,0,97.0,2011
The Hangover Part II,6.2,80000000,254455986,102.0,2011
Alvin and the Chipmunks: Chipwrecked,5.4,75000000,342695435,87.0,2011
Just Go with It,6.3,80000000,214918407,117.0,2011
Zookeeper,5.3,80000000,169852759,102.0,2011
Jack and Jill,4.1,79000000,149673788,91.0,2011
Immortals,5.7,75000000,226904017,110.0,2011
Sucker Punch,5.9,82000000,89792502,110.0,2011
Battle: Los Angeles,5.5,70000000,202466756,116.0,2011
War Horse,7.0,66000000,177584879,146.0,2011
The Dilemma,5.2,70000000,67112664,111.0,2011
Killer Elite,6.1,66000000,57777106,116.0,2011
Hall Pass,5.4,36000000,83160734,105.0,2011
Hop,5.5,63000000,183953723,95.0,2011
Contagion,6.2,60000000,137551594,106.0,2011
Priest,5.4,60000000,78309131,87.0,2011
Ghost Rider: Spirit of Vengeance,4.7,57000000,149217355,95.0,2011
Mr. Popper's Penguins,5.7,55000000,187361754,94.0,2011
The Change-Up,5.9,52000000,75450437,112.0,2011
The Adjustment Bureau,6.5,50200000,127869379,106.0,2011
Super 8,6.6,50000000,260095987,112.0,2011
We Bought a Zoo,6.5,50000000,120081841,124.0,2011
"Crazy, Stupid, Love.",7.0,50000000,142851197,118.0,2011
Moneyball,7.0,50000000,110206216,133.0,2011
