title,rate,budget,revenue,runtime,year
The Dark Knight Rises,7.6,250000000,1084939099,165.0,2012
John Carter,6.1,260000000,284139100,132.0,2012
The Avengers,7.4,220000000,1519557910,143.0,2012
Men in Black 3,6.2,225000000,624026776,106.0,2012
The Amazing Spider-Man,6.5,215000000,752215857,136.0,2012
Battleship,5.5,209000000,303025485,131.0,2012
Skyfall,6.9,200000000,1108561013,143.0,2012
Brave,6.7,185000000,538983207,93.0,2012
Snow White and the Huntsman,5.8,170000000,396600000,127.0,2012
Wreck-It Ralph,7.1,165000000,471222889,108.0,2012
The Hobbit: An Unexpected Journey,7.0,250000000,1021103568,169.0,2012
Wrath of the Titans,5.5,150000000,301000000,99.0,2012
Dark Shadows,5.7,150000000,245527149,113.0,2012
Madagascar 3: Europe's Most Wanted,6.4,145000000,746921274,93.0,2012
Rise of the Guardians,7.1,145000000,306941670,97.0,2012
The Twilight Saga: Breaking Dawn - Part 2,6.1,120000000,829000000,115.0,2012
The Bourne Legacy,6.0,130000000,276572938,120.0,2012
Life of Pi,7.2,120000000,609016565,127.0,2012
Prometheus,6.3,130000000,403170142,124.0,2012
Django Unchained,7.8,100000000,425368238,165.0,2012
The Expendables 2,6.1,100000000,312573423,103.0,2012
Cloud Atlas,6.6,102000000,130482868,172.0,2012
The Campaign,5.6,0,104907746,85.0,2012
Ice Age: Continental Drift,6.2,95000000,877244782,88.0,2012
Hotel Transylvania,6.8,85000000,358375603,91.0,2012
Safe House,6.3,85000000,208076205,115.0,2012
Mirror Mirror,5.5,85000000,183018522,106.0,2012
Dredd,6.6,50000000,41037742,95.0,2012
The Hunger Games,6.9,75000000,691210692,142.0,2012
Journey 2: The Mysterious Island,5.8,79000000,355692760,94.0,2012
Underworld: Awakening,6.1,70000000,160112671,88.0,2012
Rock of Ages,6.0,75000000,59418613,123.0,2012
Abraham Lincoln: Vampire Hunter,5.5,69000000,112265139,94.0,2012
Lincoln,6.7,65000000,275293450,149.0,2012
Les Misérables,7.1,61000000,441809770,157.0,2012
The Dictator,5.9,65000000,179379533,83.0,2012
This Means War,5.9,65000000,156974557,103.0,2012
Resident Evil: Retribution,5.6,65000000,240159255,95.0,2012
Jack Reacher,6.3,60000000,218340595,130.0,2012
ParaNorman,6.7,60000000,107139399,90.0,2012
Trouble with the Curve,6.6,0,0,111.0,2012
Red Tails,5.9,58000000,50365377,125.0,2012
That's My Boy,5.5,70000000,58058367,116.0,2012
The Watch,5.3,68000000,68267862,98.0,2012
The Pirates! In an Adventure with Scientists!,6.4,60000000,118338361,88.0,2012
Zero Dark Thirty,6.7,40000000,132820716,157.0,2012
Ted,6.3,50000000,549368315,106.0,2012
American Reunion,6.1,50000000,234989584,113.0,2012
Anna Karenina,6.5,0,68929150,130.0,2012
Taken 2,6.1,45000000,376141306,91.0,2012
Savages,6.2,45000000,82966152,131.0,2012
Foodfight!,2.3,65000000,73706,87.0,2012
Argo,7.1,44500000,232324128,120.0,2012
21 Jump Street,6.7,42000000,201585328,109.0,2012
Here Comes the Boom,6.0,0,73100172,105.0,2012
One for the Money,5.3,40000000,36893721,91.0,2012
Man on a Ledge,6.2,42000000,46221189,102.0,2012
The Odd Life of Timothy Green,6.5,0,51854875,105.0,2012
The Guilt Trip,5.4,40000000,41863726,95.0,2012
The Impossible,7.0,42000000,180274123,113.0,2012
Big Miracle,6.6,40000000,24719215,107.0,2012
A Thousand Words,6.0,40000000,22044277,91.0,2012
Frankenweenie,6.6,39000000,35287788,87.0,2012
The Master,7.0,32000000,28258060,137.0,2012
