title,rate,budget,revenue,runtime,year
Tangled,7.4,260000000,591794936,100.0,2010
Robin Hood,6.2,200000000,310669540,140.0,2010
Alice in Wonderland,6.4,200000000,1025491110,108.0,2010
TRON: Legacy,6.3,170000000,400062763,125.0,2010
Toy Story 3,7.6,200000000,1066969703,103.0,2010
Prince of Persia: The Sands of Time,6.2,150000000,335154643,116.0,2010
Iron Man 2,6.6,200000000,623933331,124.0,2010
Shrek Forever After,6.0,165000000,752600867,93.0,2010
How to Train Your Dragon,7.5,165000000,494878759,98.0,2010
Inception,8.1,160000000,825532764,148.0,2010
The Sorcerer's Apprentice,5.8,150000000,215283742,109.0,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,155000000,415686217,113.0,2010
The Wolfman,5.5,150000000,0,102.0,2010
The Last Airbender,4.7,150000000,318502923,103.0,2010
Salt,6.2,110000000,293329073,100.0,2010
Megamind,6.7,130000000,321887208,95.0,2010
Clash of the Titans,5.6,125000000,232713139,106.0,2010
How Do You Know,4.9,120000000,48668907,121.0,2010
Knight and Day,5.9,117000000,261930431,109.0,2010
Gulliver's Travels,4.9,112000000,237382724,85.0,2010
Little Fockers,5.4,100000000,310650585,98.0,2010
The Other Guys,6.1,100000000,170432927,107.0,2010
The Tourist,6.0,100000000,278731369,103.0,2010
Legend of the Guardians: The Owls of Ga'Hoole,6.5,80000000,140073390,97.0,2010
Green Zone,6.4,100000000,94882889,115.0,2010
Sex and the City 2,5.4,100000000,288347692,146.0,2010
Percy Jackson & the Olympians: The Lightning Thief,6.0,95000000,226497209,118.0,2010
Unstoppable,6.3,100000000,167805466,98.0,2010
The Nutcracker: The Untold Story,5.4,90000000,16178959,110.0,2010
Scott Pilgrim vs. the World,7.2,60000000,47664559,112.0,2010
Cats & Dogs 2 : The Revenge of Kitty Galore,4.9,85000000,112483764,82.0,2010
The Expendables,6.0,80000000,274470394,103.0,2010
Shutter Island,7.8,80000000,294804195,138.0,2010
The Book of Eli,6.6,80000000,157107755,118.0,2010
Yogi Bear,5.2,80000000,201584141,80.0,2010
Grown Ups,6.0,80000000,271430189,102.0,2010
Killers,5.7,75000000,98159963,100.0,2010
Wall Street: Money Never Sleeps,5.8,70000000,134748021,133.0,2010
The Twilight Saga: Eclipse,5.8,68000000,698491347,124.0,2010
Despicable Me,7.1,69000000,543513985,95.0,2010
Dinner for Schmucks,5.5,69000000,86387857,114.0,2010
Due Date,6.2,65000000,211780824,95.0,2010
Eat Pray Love,5.8,60000000,204594016,133.0,2010
RED,6.6,58000000,71664962,111.0,2010
Edge of Darkness,6.2,80000000,74901339,117.0,2010
Resident Evil: Afterlife,5.8,60000000,300228084,97.0,2010
Date Night,5.9,55000000,152263880,97.0,2010
Burlesque,6.9,55000000,89519773,119.0,2010
Valentine's Day,5.7,52000000,216485654,125.0,2010
From Paris with Love,6.1,52000000,52826594,92.0,2010
Marmaduke,5.0,50000000,83761844,87.0,2010
Hereafter,5.8,50000000,105197635,129.0,2010
Fair Game,6.5,22000000,24188922,108.0,2010
Jonah Hex,4.4,47000000,10539000,80.0,2010
The Ghost Writer,6.7,45000000,60222298,128.0,2010
The Bounty Hunter,5.5,40000000,136000000,110.0,2010
Charlie St. Cloud,6.8,44000000,48190704,99.0,2010
The Warrior's Way,6.3,42000000,11087569,100.0,2010
The Social Network,7.1,40000000,224920315,120.0,2010
Get Him to the Greek,5.9,40000000,90029656,109.0,2010
Predators,6.0,40000000,126248813,107.0,2010
Morning Glory,6.1,40000000,58785180,102.0,2010
The Town,7.0,37000000,154026136,125.0,2010
Cop Out,5.3,30000000,55583804,107.0,2010
Hot Tub Time Machine,6.0,36000000,64572262,101.0,2010
True Grit,7.2,38000000,252276927,110.0,2010
Secretariat,6.8,35000000,60251371,123.0,2010
The Back-Up Plan,5.7,35000000,77477008,106.0,2010
Nanny McPhee and the Big Bang,6.0,35000000,93246388,109.0,2010
Furry Vengeance,4.6,35000000,39340177,92.0,2010
Biutiful,7.0,0,25147786,148.0,2010
Takers,6.0,32000000,69055695,107.0,2010
Repo Men,6.2,32000000,18409891,111.0,2010
Going the Distance,6.0,32000000,42045846,102.0,2010
Extraordinary Measures,6.0,31000000,15134293,105.0,2010
Letters to Juliet,6.6,30000000,0,105.0,2010
Step Up 3D,6.6,30000000,159291809,107.0,2010
The Next Three Days,6.9,30000000,51148651,133.0,2010
Love & Other Drugs,6.6,30000000,102820008,112.0,2010
Barney's Version,7.2,30000000,8454301,134.0,2010
Animals United,5.5,0,0,93.0,2010
Kick-Ass,7.1,28000000,96188903,117.0,2010
The Spy Next Door,5.5,28000000,45236543,94.0,2010
Legion,5.2,26000000,67918658,100.0,2010
Dear John,6.6,25000000,114977104,115.0,2010
The Losers,6.2,25000000,23580000,97.0,2010
Don't Be Afraid of the Dark,5.4,25000000,36993168,99.0,2010
My Soul to Take,5.2,25000000,19829957,107.0,2010
The Conspirator,6.2,25000000,15478800,122.0,2010
A Turtle's Tale: Sammy's Adventures,5.6,0,0,88.0,2010
Little White Lies,7.1,25000000,48531470,154.0,2010
Love Ranch,6.0,0,0,117.0,2010
Space Dogs,6.3,25000000,6500000,85.0,2010
Piranha 3D,5.3,24000000,83188165,88.0,2010
Faster,6.1,24000000,23081726,98.0,2010
Stone,5.2,22000000,9479718,105.0,2010
For Colored Girls,7.0,0,37000000,134.0,2010
Jackass 3D,6.4,20000000,117224271,94.0,2010
The Last Song,6.9,0,0,107.0,2010
Why Did I Get Married Too?,6.1,20000000,60072596,121.0,2010
The American,5.8,20000000,65464324,104.0,2010
Vampires Suck,4.2,20000000,80547866,82.0,2010
The Debt,6.3,20000000,45636368,113.0,2010
You Again,6.0,20000000,32005248,105.0,2010
She's Out of My League,5.9,20000000,49779728,104.0,2010
Alpha and Omega,5.3,20000000,39300000,88.0,2010
Let Me In,6.7,20000000,24145613,116.0,2010
All Good Things,5.9,0,0,101.0,2010
The Tempest,6.0,20000000,346594,110.0,2010
The Switch,5.9,19000000,49830607,101.0,2010
The Crazies,6.2,20000000,54956140,101.0,2010
Leap Year,6.4,19000000,29922472,100.0,2010
127 Hours,7.0,18000000,35692920,94.0,2010
Carlos,6.7,18000000,871279,338.0,2010
Saw: The Final Chapter,5.8,20000000,136150434,90.0,2010
Lottery Ticket,5.6,0,0,99.0,2010
Remember Me,6.9,20000000,0,113.0,2010
The King's Speech,7.6,15000000,414211549,118.0,2010
Diary of a Wimpy Kid,5.9,15000000,75700498,92.0,2010
Ramona and Beezus,6.1,0,0,103.0,2010
Country Strong,5.9,15000000,20529194,117.0,2010
You Will Meet a Tall Dark Stranger,5.8,22000000,0,98.0,2010
Never Let Me Go,6.8,15000000,9455232,104.0,2010
Centurion,5.9,12000000,6814789,97.0,2010
Sarah's Key,7.2,10000000,17511906,111.0,2010
Our Family Wedding,5.7,14000000,21409028,103.0,2010
Reign of Assassins,6.7,12000000,0,117.0,2010
Flipped,7.4,14000000,1755212,89.0,2010
The Last Godfather,4.7,13400000,16700000,100.0,2010
