title,rate,budget,revenue,runtime,year
Avatar,7.2,237000000,2787965087,162.0,2009
Harry Potter and the Half-Blood Prince,7.4,250000000,933959197,153.0,2009
Transformers: Revenge of the Fallen,6.0,150000000,836297228,150.0,2009
Terminator Salvation,5.9,200000000,371353001,115.0,2009
2012,5.6,200000000,769653595,158.0,2009
A Christmas Carol,6.6,200000000,325233863,96.0,2009
Up,7.7,175000000,735099082,96.0,2009
Monsters vs Aliens,6.0,175000000,381509870,94.0,2009
G.I. Joe: The Rise of Cobra,5.6,175000000,302469017,118.0,2009
Night at the Museum: Battle of the Smithsonian,5.9,150000000,413106170,105.0,2009
X-Men Origins: Wolverine,6.2,150000000,373062864,107.0,2009
Angels & Demons,6.5,150000000,356613439,138.0,2009
G-Force,5.1,150000000,292817841,88.0,2009
Star Trek,7.4,150000000,385680446,127.0,2009
Watchmen,7.0,130000000,185258983,163.0,2009
The Princess and the Frog,6.7,105000000,267045765,97.0,2009
Public Enemies,6.5,80000000,214104620,140.0,2009
The Taking of Pelham 1 2 3,6.2,100000000,150166126,106.0,2009
Where the Wild Things Are,6.4,100000000,100086793,101.0,2009
Land of the Lost,5.3,100000000,68688831,102.0,2009
The Lovely Bones,6.6,65000000,93525586,136.0,2009
Cloudy with a Chance of Meatballs,6.5,100000000,242988466,90.0,2009
Ice Age: Dawn of the Dinosaurs,6.5,90000000,886686817,94.0,2009
Sherlock Holmes,7.0,90000000,524028679,128.0,2009
It's Complicated,6.2,85000000,219103655,121.0,2009
Surrogates,5.9,80000000,122444772,89.0,2009
Nine,5.1,80000000,53825515,112.0,2009
Oceans,7.3,0,19406406,84.0,2009
Hotel for Dogs,5.7,35000000,73034460,100.0,2009
Carriers,5.8,0,5802422,84.0,2009
Funny People,5.7,75000000,61458982,146.0,2009
Inglourious Basterds,7.9,70000000,319131050,153.0,2009
Alvin and the Chipmunks: The Squeakquel,5.4,75000000,443140005,88.0,2009
Agora,6.9,70000000,39041505,127.0,2009
Astro Boy,6.1,65000000,44091067,94.0,2009
Couples Retreat,5.3,70000000,171844840,113.0,2009
This Is It,6.7,60000000,0,111.0,2009
Coraline,7.3,60000000,124596398,100.0,2009
Year One,4.6,60000000,62357900,97.0,2009
Invictus,7.0,60000000,122233971,134.0,2009
State of Play,6.7,60000000,87784194,127.0,2009
Duplicity,5.7,78146652,60000000,125.0,2009
Planet 51,5.6,70000000,104945765,91.0,2009
The Soloist,6.6,60000000,31720158,109.0,2009
Did You Hear About the Morgans?,5.1,58000000,85280250,103.0,2009
Imagine That,5.7,55000000,0,107.0,2009
Law Abiding Citizen,7.2,53000000,126690726,109.0,2009
The Twilight Saga: New Moon,5.6,50000000,709827462,130.0,2009
Knowing,5.9,50000000,155446362,121.0,2009
Race to Witch Mountain,5.5,50000000,106303988,98.0,2009
Ninja Assassin,6.2,40000000,60462347,99.0,2009
The International,6.0,50000000,60161391,118.0,2009
Gamer,5.6,50000000,40828540,95.0,2009
Street Fighter: The Legend of Chun-Li,3.9,50000000,12764201,97.0,2009
The Boat That Rocked,7.2,50000000,36348784,116.0,2009
Aliens in the Attic,5.3,45000000,57881056,86.0,2009
Brüno,5.4,42000000,0,83.0,2009
Micmacs,6.8,33000000,14000000,100.0,2009
The Proposal,6.7,40000000,317375031,108.0,2009
He's Just Not That Into You,6.2,40000000,177259441,129.0,2009
Julie & Julia,6.6,40000000,129540499,123.0,2009
"I Love You, Man",6.5,41000000,91636986,105.0,2009
17 Again,6.1,20000000,136267476,102.0,2009
The Final Destination,5.4,40000000,186167139,82.0,2009
Fantastic Mr. Fox,7.5,40000000,46471023,87.0,2009
Cirque du Freak: The Vampire's Assistant,5.5,40000000,28169671,109.0,2009
Pandorum,6.5,33000000,20645327,108.0,2009
The Time Traveler's Wife,6.7,39000000,101229792,107.0,2009
The Ugly Truth,6.4,38000000,205298907,96.0,2009
Precious,6.9,10000000,47536959,110.0,2009
The Hangover,7.2,35000000,459270619,100.0,2009
The Blind Side,7.2,29000000,309208309,129.0,2009
