title,rate,budget,revenue,runtime,year
The Fast and the Furious,6.6,38000000,207283925,106.0,2001
Pearl Harbor,6.6,140000000,449220945,183.0,2001
Final Fantasy: The Spirits Within,5.9,137000000,85131830,106.0,2001
Harry Potter and the Philosopher's Stone,7.5,125000000,976475550,152.0,2001
"Monsters, Inc.",7.5,115000000,562816256,92.0,2001
The Lord of the Rings: The Fellowship of the Ring,8.0,93000000,871368364,178.0,2001
Ali,6.7,107000000,87713825,157.0,2001
Town & Country,3.7,90000000,10372291,104.0,2001
Planet of the Apes,5.6,100000000,362211740,119.0,2001
The Mummy Returns,6.0,98000000,433013274,130.0,2001
Black Hawk Down,7.2,92000000,172989651,144.0,2001
Lara Croft: Tomb Raider,5.7,115000000,274703340,100.0,2001
Jurassic Park III,5.7,93000000,368780809,92.0,2001
Rush Hour 2,6.4,90000000,347325802,90.0,2001
Atlantis: The Lost Empire,6.7,120000000,186053725,95.0,2001
A.I. Artificial Intelligence,6.8,100000000,235926552,146.0,2001
Spy Game,6.8,92000000,143049560,126.0,2001
Ocean's Eleven,7.2,85000000,450717150,116.0,2001
Enemy at the Gates,7.2,68000000,96976270,131.0,2001
Swordfish,6.1,102000000,147080413,99.0,2001
A Beautiful Mind,7.7,60000000,313542341,135.0,2001
Bandits,6.2,75000000,67631903,123.0,2001
Monkeybone,4.3,75000000,5409517,93.0,2001
Dr. Dolittle 2,4.9,70000000,176104344,87.0,2001
The Majestic,6.6,72000000,37317558,152.0,2001
Driven,4.5,94000000,54744738,116.0,2001
Vanilla Sky,6.5,68000000,203388341,136.0,2001
Osmosis Jones,5.9,75000000,13596911,95.0,2001
The Score,6.7,68000000,71069884,124.0,2001
3000 Miles to Graceland,5.8,62000000,18720175,125.0,2001
Cats & Dogs,5.0,60000000,93375151,87.0,2001
The Last Castle,7.0,72000000,27642707,131.0,2001
Captain Corelli's Mandolin,5.5,57000000,62112895,131.0,2001
Moulin Rouge!,7.4,52500000,179213434,127.0,2001
Domestic Disturbance,5.4,75000000,54249294,89.0,2001
Shrek,7.3,60000000,484409218,90.0,2001
