title,rate,budget,revenue,runtime,year
Superman Returns,5.4,270000000,391081192,154.0,2006
Pirates of the Caribbean: Dead Man's Chest,7.0,200000000,1065659812,151.0,2006
X-Men: The Last Stand,6.3,210000000,459359555,104.0,2006
Poseidon,5.5,160000000,181674817,99.0,2006
Mission: Impossible III,6.5,150000000,397850012,126.0,2006
Flushed Away,6.0,149000000,64459316,85.0,2006
The Da Vinci Code,6.5,125000000,767820459,149.0,2006
Night at the Museum,6.3,110000000,574480841,108.0,2006
Casino Royale,7.3,150000000,599045960,144.0,2006
Eragon,4.9,100000000,249288105,104.0,2006
Blood Diamond,7.3,100000000,170877916,143.0,2006
The Departed,7.9,90000000,289847354,151.0,2006
Happy Feet,5.9,100000000,384335608,108.0,2006
The Holiday,6.7,85000000,194168700,136.0,2006
Open Season,6.1,85000000,197309027,83.0,2006
The Fast and the Furious: Tokyo Drift,6.1,85000000,158468292,104.0,2006
Click,6.0,82500000,237681299,107.0,2006
Over the Hedge,6.3,80000000,343397247,83.0,2006
Charlotte's Web,5.8,85000000,144000000,97.0,2006
The Pink Panther,5.6,0,0,93.0,2006
Arthur and the Invisibles,6.0,86000000,107944236,94.0,2006
Children of Men,7.4,76000000,69959751,109.0,2006
Ice Age: The Meltdown,6.5,80000000,660940780,91.0,2006
Dreamgirls,6.6,70000000,154937680,134.0,2006
Monster House,6.3,75000000,140175006,91.0,2006
Talladega Nights: The Ballad of Ricky Bobby,6.2,72500000,162966177,116.0,2006
Cars,6.6,120000000,461983149,117.0,2006
Lady in the Water,5.3,75000000,42285169,110.0,2006
Basic Instinct 2,4.6,70000000,38629478,114.0,2006
World Trade Center,5.9,63000000,162945894,128.0,2006
We Are Marshall,6.7,65000000,43545364,124.0,2006
Perfume: The Story of a Murderer,7.1,50000000,132180323,147.0,2006
Little Man,5.3,64000000,101595121,98.0,2006
300,7.0,65000000,422610419,117.0,2006
The Shaggy Dog,4.5,50000000,61112916,98.0,2006
The Sentinel,5.8,60000000,77920346,108.0,2006
Garfield: A Tail of Two Kitties,5.1,0,141702264,78.0,2006
The Black Dahlia,5.7,50000000,49111202,121.0,2006
Flyboys,6.3,60000000,17800000,140.0,2006
The Pursuit of Happyness,7.7,55000000,307077295,117.0,2006
"You, Me and Dupree",5.4,54000000,130431368,108.0,2006
All the King's Men,5.7,55000000,9450897,125.0,2006
Flags of Our Fathers,6.7,90000000,65900249,132.0,2006
The Break-Up,5.6,52000000,204999686,106.0,2006
Barnyard,5.3,51000000,72779000,90.0,2006
Deck the Halls,5.1,0,47231070,93.0,2006
Inside Man,7.3,45000000,184376254,129.0,2006
Failure to Launch,5.5,50000000,88715192,97.0,2006
V for Vendetta,7.7,54000000,132511035,132.0,2006
Curious George,6.2,50000000,69834815,86.0,2006
Firewall,5.6,45000000,82800000,105.0,2006
Silent Hill,6.3,50000000,97607453,125.0,2006
The Tooth Fairy,4.3,0,0,0.0,2006
