title,rate,budget,revenue,runtime,year
Evil Dead,6.4,17000000,97542952,91.0,2013
The Immigrant,6.2,16000000,5867686,117.0,2013
Trance,6.5,20000000,24261569,101.0,2013
Zulu,6.7,16000000,0,110.0,2013
Mama,6.0,15000000,146497771,100.0,2013
Bad Grandpa,6.0,15000000,151831537,92.0,2013
Snitch,5.8,35000000,42930462,112.0,2013
The Place Beyond the Pines,6.8,15000000,35485608,140.0,2013
Peeples,5.6,15,0,95.0,2013
Khumba,5.8,20000000,27187375,85.0,2013
21 & Over,5.7,13000000,48065672,93.0,2013
Admission,5.4,13000000,18000000,107.0,2013
The Call,6.6,13000000,68572378,94.0,2013
Philomena,7.4,12000000,100129872,98.0,2013
Nebraska,7.4,12000000,17654912,115.0,2013
About Time,7.8,0,87100449,123.0,2013
The Great Beauty,7.3,12400000,8371085,142.0,2013
Stoker,6.5,12000000,12077441,99.0,2013
Inside Llewyn Davis,7.2,11000000,32935319,105.0,2013
The Last Days on Mars,5.2,0,0,98.0,2013
Mud,7.0,10000000,21587700,130.0,2013
One Direction: This Is Us,8.0,10000000,0,92.0,2013
Movie 43,4.4,6000000,32438988,90.0,2013
Bad Words,6.4,9500000,7800000,88.0,2013
Cinco de Mayo: La Batalla,5.8,10000000,0,125.0,2013
Of Horses and Men,6.9,10,11,85.0,2013
Nurse 3-D,4.9,10,10000000,99.0,2013
Baggage Claim,5.6,8500000,22456509,96.0,2013
The Haunting in Connecticut 2: Ghosts of Georgia,5.6,0,0,101.0,2013
All Is Lost,6.6,9000000,6108720,106.0,2013
Yeh Jawaani Hai Deewani,7.2,7700000,46000000,159.0,2013
Enough Said,6.6,0,25288872,93.0,2013
Begin Again,7.3,8000000,63464861,104.0,2013
My Lucky Star,4.3,0,0,114.0,2013
Green Street Hooligans: Underground,5.4,0,0,90.0,2013
The Christmas Candle,5.8,0,0,100.0,2013
Dom Hemingway,5.8,0,523511,93.0,2013
Hard to Be a God,6.7,7000000,1310673,170.0,2013
The East,6.5,6500000,2401510,116.0,2013
Don Jon,5.9,6000000,0,90.0,2013
R100,5.4,5500000,0,100.0,2013
Insidious: Chapter 2,6.5,5000000,0,106.0,2013
Instructions Not Included,7.5,5500000,99067206,115.0,2013
Dallas Buyers Club,7.9,5000000,55198285,117.0,2013
Oculus,6.3,5000000,44030246,104.0,2013
The Way Way Back,7.1,4600000,23198652,103.0,2013
Spring Breakers,5.0,5000000,31724284,94.0,2013
Born Of War,4.1,0,0,109.0,2013
Only God Forgives,5.6,4800000,10337387,90.0,2013
Treading Water,5.6,4700000,0,92.0,2013
Hansel and Gretel Get Baked,4.8,4500000,0,86.0,2013
The Last Exorcism Part II,4.4,5000000,15179302,88.0,2013
"Guten Tag, Ramón",8.1,4000000,0,119.0,2013
