title,rate,budget,revenue,runtime,year
Die Another Day,5.8,140000000,431971116,133.0,2002
Men in Black II,6.0,140000000,441818803,88.0,2002
Spider-Man,6.8,139000000,821708551,121.0,2002
Stuart Little 2,5.4,120000000,169956806,78.0,2002
Star Wars: Episode II - Attack of the Clones,6.4,120000000,649398328,142.0,2002
Windtalkers,5.8,115000000,77628265,134.0,2002
Minority Report,7.1,102000000,358372926,145.0,2002
Harry Potter and the Chamber of Secrets,7.4,100000000,876688482,161.0,2002
Treasure Planet,7.2,140000000,109578115,95.0,2002
The Adventures of Pluto Nash,4.4,100000000,7103973,95.0,2002
Gangs of New York,7.1,100000000,193772504,167.0,2002
The Lord of the Rings: The Two Towers,8.0,79000000,926287400,179.0,2002
K-19: The Widowmaker,6.1,100000000,35168966,138.0,2002
Collateral Damage,5.5,85000000,78382433,108.0,2002
Scooby-Doo,5.4,84000000,275650703,88.0,2002
Lilo & Stitch,7.1,80000000,145771527,85.0,2002
Road to Perdition,7.3,80000000,181001478,117.0,2002
Spirit: Stallion of the Cimarron,7.4,80000000,122563539,83.0,2002
The Time Machine,5.8,80000000,123729176,96.0,2002
Red Dragon,6.7,78000000,209196298,124.0,2002
Signs,6.4,72000000,408247917,106.0,2002
xXx,5.8,70000000,277448382,124.0,2002
We Were Soldiers,6.7,75000000,114660784,138.0,2002
Bad Company,5.4,70000000,65977295,116.0,2002
I Spy,5.2,70000000,33561137,97.0,2002
Hart's War,5.9,70000000,32287044,125.0,2002
Rollerball,3.4,0,0,98.0,2002
Ballistic: Ecks vs. Sever,4.3,70000000,19924033,91.0,2002
The Sum of All Fears,5.9,68000000,193000000,124.0,2002
Ice Age,7.1,59000000,383257136,81.0,2002
The Santa Clause 2,5.5,65000000,172855065,104.0,2002
Austin Powers in Goldmember,5.9,63000000,296655431,94.0,2002
The Bourne Identity,7.3,60000000,214034224,119.0,2002
Two Weeks Notice,5.9,60000000,93354918,101.0,2002
The Scorpion King,5.3,60000000,165333180,92.0,2002
The Tuxedo,5.3,0,0,98.0,2002
Reign of Fire,6.0,60000000,43061982,101.0,2002
Star Trek: Nemesis,6.1,60000000,67312826,117.0,2002
Analyze That,5.7,60000000,55003135,96.0,2002
Dragonfly,6.1,60000000,52322400,104.0,2002
Maid in Manhattan,5.6,55000000,154906693,105.0,2002
D-Tox,5.3,55000000,6416302,96.0,2002
Blade II,6.2,54000000,155010032,117.0,2002
Catch Me If You Can,7.7,52000000,352114312,141.0,2002
Mr. Deeds,5.6,50000000,171269535,96.0,2002
Unfaithful,6.3,50000000,119137784,124.0,2002
Murder by Numbers,6.0,50000000,56714147,120.0,2002
Blood Work,6.1,50000000,26199517,110.0,2002
Death to Smoochy,5.9,55000000,0,109.0,2002
Panic Room,6.5,48000000,196397415,111.0,2002
Insomnia,6.8,46000000,113714830,118.0,2002
Changing Lanes,5.9,45000000,94935764,89.0,2002
Big Trouble,6.3,40000000,8493890,85.0,2002
The Sweetest Thing,5.3,43000000,68696770,84.0,2002
High Crimes,6.1,42000000,63781810,115.0,2002
The Mothman Prophecies,6.1,32000000,55157539,119.0,2002
Hero,7.2,31000000,177394432,99.0,2002
8 Mile,6.8,41000000,215000000,110.0,2002
The Count of Monte Cristo,7.3,35000000,75395048,131.0,2002
City By The Sea,5.7,40000000,22433915,108.0,2002
Life or Something Like It,5.7,40000000,16872671,103.0,2002
FearDotCom,3.2,40000000,18902015,101.0,2002
Extreme Ops,5.0,40000000,10959475,93.0,2002
Sweet Home Alabama,6.0,30000000,180622424,108.0,2002
Spy Kids 2: The Island of Lost Dreams,5.3,38000000,119723358,100.0,2002
Enough,6.2,38000000,51801187,114.0,2002
John Q,7.0,36000000,102244770,116.0,2002
Resident Evil,6.4,33000000,102984862,100.0,2002
The Pianist,8.0,35000000,120072577,150.0,2002
Queen of the Damned,5.4,35000000,45479110,101.0,2002
The Four Feathers,6.5,35000000,29882645,132.0,2002
Femme Fatale,6.2,35000000,16838910,114.0,2002
Snow Dogs,5.3,33000000,0,99.0,2002
Chicago,6.9,45000000,306776732,113.0,2002
About Schmidt,6.7,30000000,105834556,125.0,2002
Like Mike,5.7,30000000,0,99.0,2002
Blue Crush,5.6,25000000,51842679,104.0,2002
Eight Legged Freaks,5.4,0,0,99.0,2002
Ripley's Game,6.6,30000000,0,110.0,2002
Confessions of a Dangerous Mind,6.6,30000000,33013805,113.0,2002
Serving Sara,5.0,29000000,16930185,100.0,2002
Divine Secrets of the Ya-Ya Sisterhood,5.6,27000000,0,116.0,2002
About a Boy,6.6,27000000,129000000,101.0,2002
Clockstoppers,4.9,26000000,38793283,94.0,2002
The Wild Thornberrys Movie,5.8,35000000,0,85.0,2002
Undercover Brother,5.5,25000000,41604473,86.0,2002
The Hours,7.0,25000000,41597830,114.0,2002
Punch-Drunk Love,6.9,25000000,17000000,95.0,2002
Half Past Dead,4.6,13000000,0,98.0,2002
Stealing Harvard,4.4,0,0,85.0,2002
Abandon,4.6,25000000,10719357,99.0,2002
The Rookie,6.5,20000000,75597042,127.0,2002
The Transporter,6.6,21000000,43928932,92.0,2002
Moonlight Mile,6.5,21000000,10011050,117.0,2002
Drumline,6.2,20000000,57588485,118.0,2002
Return to Never Land,6.1,20000000,109862682,72.0,2002
Ghost Ship,5.3,35000000,68349884,91.0,2002
The Country Bears,4.3,35000000,0,88.0,2002
The Quiet American,6.4,30000000,27674124,101.0,2002
Undisputed,6.1,20000000,12398628,96.0,2002
Equilibrium,6.9,20000000,5359645,107.0,2002
People I Know,5.5,20000000,0,100.0,2002
Adaptation.,7.3,19000000,32801173,114.0,2002
Salton Sea,7.0,18000000,676698,103.0,2002
City of Ghosts,5.4,0,0,116.0,2002
40 Days and 40 Nights,5.2,17000000,0,94.0,2002
They,4.6,17000000,0,89.0,2002
The Master of Disguise,3.7,0,0,80.0,2002
White Oleander,7.2,0,0,109.0,2002
Hollywood Ending,6.4,16000000,0,112.0,2002
Juwanna Mann,4.2,15600000,0,91.0,2002
Ararat,5.7,0,0,115.0,2002
Big Fat Liar,5.6,15000000,52970014,88.0,2002
Halloween: Resurrection,4.5,13000000,37664855,94.0,2002
Tuck Everlasting,6.4,0,0,90.0,2002
Dark Blue,6.5,15000000,9237470,118.0,2002
Boat Trip,4.7,20000000,8586376,94.0,2002
The Importance of Being Earnest,6.7,0,0,97.0,2002
Jonah: A VeggieTales Movie,6.4,0,0,82.0,2002
All About the Benjamins,5.8,14000000,25482931,95.0,2002
Amen.,7.1,0,0,132.0,2002
Far from Heaven,6.9,13500000,29027914,107.0,2002
The New Guy,5.7,13000000,0,88.0,2002
The Crocodile Hunter: Collision Course,5.3,0,33082548,90.0,2002
Antwone Fisher,6.7,12500000,23367586,120.0,2002
The Emperor's Club,6.9,0,0,108.0,2002
Barbershop,6.2,12000000,75781642,102.0,2002
Crossroads,4.7,12000000,61141030,93.0,2002
One Hour Photo,6.6,12000000,52223306,96.0,2002
Frida,7.3,12000000,56298474,123.0,2002
Sorority Boys,4.6,12000000,0,93.0,2002
The Dangerous Lives of Altar Boys,6.4,0,0,104.0,2002
Welcome to Collinwood,6.2,1200000,0,86.0,2002
Cypher,6.7,7500000,0,95.0,2002
Phone Booth,6.7,13000000,97837138,81.0,2002
A Walk to Remember,7.5,11000000,41227069,101.0,2002
Slackers,5.4,14000000,6413915,86.0,2002
The Guru,5.1,0,0,91.0,2002
Darkness,5.6,0,0,102.0,2002
Friday After Next,6.0,20000000,33526835,85.0,2002
The Banger Sisters,5.5,10000000,0,98.0,2002
Swimfan,5.0,8500000,34411240,84.0,2002
