title,rate,budget,revenue,runtime,year
King Kong,6.6,207000000,550000000,187.0,2005
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,180000000,748806957,143.0,2005
Harry Potter and the Goblet of Fire,7.5,150000000,895921036,157.0,2005
Charlie and the Chocolate Factory,6.7,150000000,474968763,115.0,2005
Batman Begins,7.5,150000000,374218673,140.0,2005
Fun with Dick and Jane,5.9,100000000,202026112,90.0,2005
Stealth,4.9,135000000,76932943,121.0,2005
Sahara,5.7,130000000,119269486,124.0,2005
War of the Worlds,6.2,132000000,591739379,116.0,2005
Star Wars: Episode III - Revenge of the Sith,7.1,113000000,850000000,140.0,2005
Mr. & Mrs. Smith,6.5,110000000,478207520,120.0,2005
Kingdom of Heaven,6.6,130000000,211643158,144.0,2005
The Island,6.5,126000000,162949164,136.0,2005
Son of the Mask,3.6,84000000,0,94.0,2005
The Interpreter,6.2,80000000,162944923,128.0,2005
Cinderella Man,7.3,88000000,108539911,144.0,2005
Memoirs of a Geisha,7.3,85000000,162242962,145.0,2005
The Longest Yard,6.2,82000000,190320568,113.0,2005
Robots,6.0,75000000,260696994,91.0,2005
The Legend of Zorro,5.9,75000000,142400065,129.0,2005
The Brothers Grimm,5.6,88000000,105316267,118.0,2005
A Sound of Thunder,4.8,80000000,5989640,110.0,2005
Madagascar,6.6,75000000,532680671,86.0,2005
Be Cool,5.4,53000000,95226116,118.0,2005
Munich,6.9,70000000,130358911,164.0,2005
Hostage,6.2,52000000,77944725,113.0,2005
Jarhead,6.6,72000000,96889998,125.0,2005
Doom,5.0,60000000,55987321,105.0,2005
Zathura: A Space Adventure,6.1,65000000,64321501,101.0,2005
Oliver Twist,6.7,50000000,42093706,130.0,2005
Elektra,4.8,43000000,56681566,97.0,2005
Chicken Little,5.6,150000000,314432665,81.0,2005
Cheaper by the Dozen 2,5.7,60000000,129181830,94.0,2005
Miss Congeniality 2: Armed and Fabulous,5.3,0,0,115.0,2005
xXx: State of the Union,4.7,60000000,71073932,101.0,2005
Dark Water,5.3,30000000,25473093,105.0,2005
The Great Raid,6.8,80000000,10166502,132.0,2005
Just Like Heaven,6.5,58000000,102854431,95.0,2005
The Pacifier,5.8,56000000,113006880,95.0,2005
Hitch,6.4,70000000,368100420,118.0,2005
Flightplan,6.1,55000000,223387299,98.0,2005
Æon Flux,5.4,62000000,52304001,93.0,2005
Elizabethtown,6.1,57000000,52034889,123.0,2005
The Dukes of Hazzard,5.1,50000000,110803676,104.0,2005
The Ring Two,5.4,50000000,161451538,110.0,2005
Herbie Fully Loaded,5.1,50000000,66002004,101.0,2005
Syriana,6.3,50000000,94000000,128.0,2005
The Adventures of Sharkboy and Lavagirl,4.4,50000000,69425966,92.0,2005
Man of the House,5.4,40000000,0,100.0,2005
Into the Blue,5.8,50000000,44434439,110.0,2005
Domino,6.0,50000000,22944502,127.0,2005
Monster-in-Law,5.6,43000000,154749918,101.0,2005
Coach Carter,7.3,30000000,76669806,136.0,2005
Kicking & Screaming,5.6,45000000,56070433,95.0,2005
The Hitchhiker's Guide to the Galaxy,6.6,50000000,104478416,109.0,2005
The Producers,6.1,45000000,38058335,134.0,2005
Unleashed,6.6,45000000,50871113,103.0,2005
Lord of War,7.0,42000000,24127895,122.0,2005
Sin City,7.2,40000000,158733820,124.0,2005
The Skeleton Key,6.4,43000000,91974818,104.0,2005
Fever Pitch,5.9,30000000,50451307,103.0,2005
