title,rate,budget,revenue,runtime,year
Dinosaur,6.2,127500000,354248063,82.0,2000
How the Grinch Stole Christmas,6.2,123000000,345141403,104.0,2000
Mission: Impossible II,5.9,125000000,546388105,123.0,2000
The Perfect Storm,6.2,120000000,325756637,130.0,2000
The Patriot,6.8,110000000,215294342,165.0,2000
Gone in Sixty Seconds,6.1,90000000,237202299,118.0,2000
Gladiator,7.9,103000000,457640427,155.0,2000
The Emperor's New Groove,7.2,100000000,169327687,78.0,2000
The Road to El Dorado,7.0,95000000,76432727,89.0,2000
What Lies Beneath,6.3,100000000,155464351,130.0,2000
Charlie's Angels,5.6,92000000,264105545,98.0,2000
Hollow Man,5.6,95000000,190213455,112.0,2000
Mission to Mars,5.7,90000000,60874615,114.0,2000
Cast Away,7.5,90000000,429632142,143.0,2000
102 Dalmatians,5.1,85000000,183611771,100.0,2000
Nutty Professor II: The Klumps,4.7,84000000,123307945,106.0,2000
The 6th Day,5.7,82000000,96085477,123.0,2000
Little Nicky,5.2,85000000,0,90.0,2000
Thirteen Days,6.9,80000000,34566746,145.0,2000
Battlefield Earth,3.0,44000000,21400000,118.0,2000
Red Planet,5.4,80000000,33463969,106.0,2000
The Adventures of Rocky & Bullwinkle,3.9,76000000,35134820,88.0,2000
X-Men,6.8,75000000,296339527,104.0,2000
Vertical Limit,5.9,75000000,215663859,124.0,2000
Titan A.E.,6.3,75000000,36754634,94.0,2000
Unbreakable,6.9,75000000,248118121,106.0,2000
What Women Want,6.1,70000000,374111707,127.0,2000
Space Cowboys,6.3,65000000,128884132,130.0,2000
The Kid,6.0,65000000,69700000,104.0,2000
Proof of Life,6.0,65000000,0,135.0,2000
Lucky Numbers,4.9,65000000,0,105.0,2000
U-571,6.1,62000000,127666415,116.0,2000
The Family Man,6.5,60000000,0,125.0,2000
The Legend of Bagger Vance,6.3,80000000,39459427,126.0,2000
Almost Famous,7.4,60000000,47383689,122.0,2000
Supernova,4.9,90000000,14828081,91.0,2000
The Flintstones in Viva Rock Vegas,4.4,83000000,59468275,90.0,2000
Meet the Parents,6.6,55000000,330444045,108.0,2000
Shanghai Noon,6.2,55000000,56932305,110.0,2000
Shaft,5.5,46000000,107196498,99.0,2000
"Me, Myself & Irene",6.1,51000000,149270999,116.0,2000
Erin Brockovich,7.1,52000000,256271286,131.0,2000
The Replacements,6.1,0,0,118.0,2000
The Beach,6.3,40000000,144056873,119.0,2000
What Planet Are You From?,5.4,60000000,0,105.0,2000
Traffic,6.9,48000000,207515725,147.0,2000
Bedazzled,5.6,48000000,90383208,93.0,2000
Miss Congeniality,6.1,45000000,212000000,111.0,2000
Coyote Ugly,5.8,45000000,113916474,100.0,2000
All the Pretty Horses,5.8,57000000,0,117.0,2000
Finding Forrester,7.0,43000000,80049764,136.0,2000
28 Days,6.0,43000000,0,103.0,2000
Chicken Run,6.5,45000000,224834564,84.0,2000
Scream 3,5.7,40000000,161834276,116.0,2000
Autumn in New York,5.7,65000000,0,103.0,2000
Hanging Up,5.0,40000000,36037909,94.0,2000
Pay It Forward,7.0,40000000,55707411,122.0,2000
The Art of War,5.6,40000000,30199105,117.0,2000
Bless the Child,4.9,40000000,0,107.0,2000
Get Carter,4.8,63600000,19412993,102.0,2000
Reindeer Games,5.4,42000000,32168970,124.0,2000
Isn't She Great,4.6,36000000,3003296,95.0,2000
The Cell,6.0,33000000,104155843,107.0,2000
Wonder Boys,6.9,35000000,0,111.0,2000
I Dreamed of Africa,5.3,34000000,0,114.0,2000
Big Momma's House,5.6,30000000,173959438,98.0,2000
The Watcher,4.9,33000000,0,96.0,2000
Men of Honor,7.0,32000000,48814909,129.0,2000
Frequency,7.0,31000000,68106245,118.0,2000
Remember the Titans,7.4,30000000,136706683,113.0,2000
Rugrats in Paris: The Movie,6.0,30,103,78.0,2000
Keeping the Faith,5.9,30000000,37036004,127.0,2000
Dracula 2000,4.6,28000000,33000337,99.0,2000
Lost Souls,4.5,0,0,97.0,2000
"O Brother, Where Art Thou?",7.3,26000000,71868327,106.0,2000
Chocolat,6.8,25000000,152500343,121.0,2000
Romeo Must Die,6.0,25000000,91036760,115.0,2000
The Next Best Thing,4.3,25000000,24362772,108.0,2000
The Whole Nine Yards,6.2,41300000,106371651,98.0,2000
Return to Me,6.1,24000000,36609995,115.0,2000
Nurse Betty,5.9,24000000,0,108.0,2000
Ready to Rumble,4.7,24000000,12372410,107.0,2000
Final Destination,6.4,23000000,53302314,98.0,2000
Pitch Black,6.7,23000000,53187659,108.0,2000
The Crew,6.4,0,0,88.0,2000
The Little Vampire,6.1,22000000,13555988,95.0,2000
The Tigger Movie,6.3,30000000,45554533,77.0,2000
High Fidelity,7.0,30000000,47126295,113.0,2000
Loser,5.0,0,0,98.0,2000
The Yards,6.0,0,0,115.0,2000
Thomas and the Magic Railroad,4.6,0,0,85.0,2000
Small Time Crooks,6.4,0,0,94.0,2000
Center Stage,6.8,18000000,17200925,115.0,2000
Road Trip,5.9,16000000,119754278,93.0,2000
Boys and Girls,5.4,16000000,20627372,94.0,2000
Drowning Mona,5.4,16000000,15427192,96.0,2000
Duets,5.5,0,0,112.0,2000
"Crouching Tiger, Hidden Dragon",7.2,17000000,213525736,120.0,2000
The Skulls,5.8,15000000,35007180,106.0,2000
Where the Heart Is,6.9,15000000,33771174,120.0,2000
Love & Basketball,7.4,20000000,27728118,124.0,2000
Book of Shadows: Blair Witch 2,4.3,0,0,90.0,2000
Urban Legends: Final Cut,4.4,14000000,38574362,97.0,2000
Highlander: Endgame,4.4,25000000,15843608,87.0,2000
Here On Earth,5.4,0,0,96.0,2000
Whatever It Takes,5.0,15000000,9902115,94.0,2000
The In Crowd,4.7,15000000,5217498,105.0,2000
Gossip,5.5,14000000,5108820,90.0,2000
Quills,6.8,13500000,7060876,124.0,2000
"Dude, Where’s My Car?",5.2,13000000,73180723,83.0,2000
