title,rate,budget,revenue,runtime,year
The Hobbit: The Battle of the Five Armies,7.1,250000000,956019788,144.0,2014
Transformers: Age of Extinction,5.8,210000000,1091405097,165.0,2014
The Amazing Spider-Man 2,6.5,200000000,705717432,142.0,2014
X-Men: Days of Future Past,7.5,250000000,747862775,131.0,2014
Edge of Tomorrow,7.6,178000000,370541256,113.0,2014
Maleficent,7.0,180000000,758539785,97.0,2014
Dawn of the Planet of the Apes,7.3,170000000,710644566,130.0,2014
Captain America: The Winter Soldier,7.6,170000000,714766572,136.0,2014
Big Hero 6,7.8,165000000,652105443,102.0,2014
Guardians of the Galaxy,7.9,170000000,773328629,121.0,2014
Interstellar,8.1,165000000,675120017,169.0,2014
Mr. Peabody & Sherman,6.7,145000000,272912430,92.0,2014
Exodus: Gods and Kings,5.6,140000000,268031828,150.0,2014
How to Train Your Dragon 2,7.6,145000000,609123048,102.0,2014
Penguins of Madagascar,6.5,132000000,373552094,92.0,2014
Noah,5.6,125000000,362637473,139.0,2014
Night at the Museum: Secret of the Tomb,6.1,127000000,349424282,97.0,2014
The Hunger Games: Mockingjay - Part 1,6.6,125000000,752100229,123.0,2014
Rio 2,6.3,103000000,500188435,102.0,2014
RoboCop,5.7,120000000,242688965,102.0,2014
Teenage Mutant Ninja Turtles,5.8,125000000,477200000,101.0,2014
300: Rise of an Empire,6.1,110000000,337580051,102.0,2014
Hercules,5.6,100000000,243400000,99.0,2014
The Expendables 3,6.1,90000000,206172544,127.0,2014
Seventh Son,5.2,95000000,114178613,102.0,2014
Transcendence,5.9,100000000,103039258,119.0,2014
Divergent,6.9,85000000,288747895,139.0,2014
Fury,7.4,68000000,211817906,135.0,2014
Pompeii,5.2,130000000,117831631,105.0,2014
The Monuments Men,5.8,70000000,154984035,118.0,2014
Dracula Untold,6.2,70000000,215529201,92.0,2014
The Legend of Hercules,4.4,70000000,61279452,99.0,2014
Need for Speed,6.1,66000000,203277636,130.0,2014
Unbroken,7.3,65000000,163442937,137.0,2014
Annie,6.0,65000000,133821816,119.0,2014
"I, Frankenstein",5.0,65000000,71154592,92.0,2014
Sin City: A Dame to Kill For,6.3,65000000,39407616,102.0,2014
Gone Girl,7.9,61000000,369330363,145.0,2014
Jack Ryan: Shadow Recruit,5.9,60000000,50549107,105.0,2014
The Boxtrolls,6.6,60000000,108255770,97.0,2014
The Lego Movie,7.5,60000000,469160692,100.0,2014
Winter's Tale,6.0,60000000,30800231,118.0,2014
American Sniper,7.4,58800000,542307423,133.0,2014
The Equalizer,7.1,55000000,192330738,132.0,2014
Paddington,7.0,55000000,259207227,95.0,2014
Muppets Most Wanted,6.2,50000000,80383290,112.0,2014
22 Jump Street,7.0,50000000,188441614,112.0,2014
Into the Woods,5.6,50000000,212902372,125.0,2014
Non-Stop,6.8,50000000,222809600,106.0,2014
The Book of Life,7.3,50000000,97437106,95.0,2014
Into the Storm,5.8,50000000,160602194,89.0,2014
The Judge,7.2,50000000,83719388,141.0,2014
Taken 3,6.1,48000000,325771424,109.0,2014
Blended,6.6,40000000,123494610,117.0,2014
The Interview,6.1,44000000,12342632,112.0,2014
Lucy,6.3,40000000,126546825,89.0,2014
Dumb and Dumber To,5.4,40000000,169837010,110.0,2014
The Other Woman,6.2,40000000,196781193,109.0,2014
Horrible Bosses 2,6.1,42000000,107670357,108.0,2014
Jersey Boys,6.8,40000000,67347013,134.0,2014
Sex Tape,5.3,40000000,126069509,97.0,2014
A Million Ways to Die in the West,5.8,0,0,116.0,2014
Dragon Nest: Warriors' Dawn,6.8,40000000,0,88.0,2014
Dolphin Tale 2,6.7,36000000,52424533,107.0,2014
Sabotage,5.5,35000000,17508518,110.0,2014
The Maze Runner,7.0,34000000,348319861,113.0,2014
The Grand Budapest Hotel,8.0,30000000,174600318,99.0,2014
The Nut Job,5.5,0,0,85.0,2014
Get on Up,6.4,0,31911598,139.0,2014
Deliver Us from Evil,5.9,30000000,0,118.0,2014
United Passions,3.0,27000000,0,110.0,2014
Grace of Monaco,5.8,30000000,0,103.0,2014
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.1,28000000,100654149,81.0,2014
3 Days to Kill,6.0,28000000,52597999,113.0,2014
Brick Mansions,5.7,28000000,68896829,90.0,2014
A Walk Among the Tombstones,6.2,28000000,53181600,113.0,2014
The Best of Me,7.2,26000000,35926213,117.0,2014
Forbidden Kingdom,4.9,26000000,0,127.0,2014
The Face of an Angel,4.7,0,0,100.0,2014
Ride Along,6.1,25000000,153997819,99.0,2014
Million Dollar Arm,6.6,25000000,38307627,124.0,2014
The Giver,6.4,25000000,66980456,94.0,2014
The Gambler,5.7,25000000,39171130,111.0,2014
Draft Day,6.5,25000000,28831145,109.0,2014
Kung Fu Jungle,6.5,25000000,0,100.0,2014
Red Sky,4.1,25000000,0,100.0,2014
Think Like a Man Too,6.4,24000000,70181428,105.0,2014
The Water Diviner,6.8,22500000,15520023,112.0,2014
The Hundred-Foot Journey,7.3,22000000,88880821,122.0,2014
Son of God,5.9,22000000,67800064,138.0,2014
Before I Go to Sleep,6.2,22000000,15447154,92.0,2014
Tammy,5.0,20000000,100525432,97.0,2014
