title,rate,budget,revenue,runtime,year
Spectre,6.3,245000000,880674609,148.0,2015
Avengers: Age of Ultron,7.3,280000000,1405403694,141.0,2015
Jurassic World,6.5,150000000,1513528810,124.0,2015
Furious 7,7.3,190000000,1506249360,137.0,2015
The Good Dinosaur,6.6,175000000,331926147,93.0,2015
Jupiter Ascending,5.2,176000003,183987723,124.0,2015
Inside Out,8.0,175000000,857611174,94.0,2015
The Lovers,4.8,27000000,0,109.0,2015
Tomorrowland,6.2,190000000,209154322,130.0,2015
The Hunger Games: Mockingjay - Part 2,6.6,160000000,653428261,137.0,2015
Terminator Genisys,5.8,155000000,440603537,126.0,2015
Mad Max: Fury Road,7.2,150000000,378858340,120.0,2015
Mission: Impossible - Rogue Nation,7.1,150000000,682330139,131.0,2015
Pan,5.9,150000000,128388320,111.0,2015
The Revenant,7.3,135000000,532950503,156.0,2015
Ant-Man,7.0,130000000,519311965,117.0,2015
Home,6.8,135000000,368871007,94.0,2015
Fantastic Four,4.4,120000000,167977596,100.0,2015
San Andreas,6.0,110000000,470490832,114.0,2015
Insurgent,6.2,110000000,295238201,119.0,2015
The Martian,7.6,108000000,630161890,141.0,2015
Point Break,5.5,105000000,133718711,114.0,2015
In the Heart of the Sea,6.5,100000000,93820758,122.0,2015
The Peanuts Movie,6.5,99000000,246233113,88.0,2015
Cinderella,6.7,95000000,543514353,105.0,2015
Alvin and the Chipmunks: The Road Chip,5.8,0,233755553,92.0,2015
Pixels,5.6,88000000,243637091,105.0,2015
Hotel Transylvania 2,6.7,80000000,473226958,89.0,2015
Evolution,6.4,0,0,81.0,2015
The Last Witch Hunter,5.7,90000000,146936910,106.0,2015
Top Cat Begins,5.3,8000000,0,89.0,2015
The Little Prince,7.6,64000000,97571250,92.0,2015
The Man from U.N.C.L.E.,7.1,75000000,108145109,116.0,2015
Minions,6.4,74000000,1156730962,91.0,2015
The SpongeBob Movie: Sponge Out of Water,5.8,74000000,311594032,93.0,2015
Blackhat,5.1,70000000,17752940,133.0,2015
Ted 2,6.2,68000000,217022588,115.0,2015
Focus,6.7,50100000,153962963,105.0,2015
Everest,6.7,55000000,203427584,121.0,2015
Dragon Blade,5.9,65000000,121545703,127.0,2015
The Hateful Eight,7.6,44000000,155760117,167.0,2015
Maze Runner: The Scorch Trials,6.4,61000000,311256926,132.0,2015
Joy,6.4,60000000,101134059,124.0,2015
Mortdecai,5.4,60000000,30418560,106.0,2015
Goosebumps,6.2,58000000,158162788,103.0,2015
The Ridiculous 6,4.9,60000000,0,119.0,2015
Black Mass,6.3,53000000,98837872,122.0,2015
Daddy's Home,5.8,50000000,242786137,96.0,2015
Run All Night,6.3,50000000,71561644,114.0,2015
Chappie,6.6,49000000,104399548,120.0,2015
Child 44,6.1,50000000,3324330,137.0,2015
Victor Frankenstein,5.6,40000000,34227298,109.0,2015
Why I Did (Not) Eat My Father,5.3,0,0,100.0,2015
Fifty Shades of Grey,5.2,40000000,571006128,125.0,2015
Get Hard,5.9,40000000,111811453,100.0,2015
The Intern,7.1,35000000,194564672,121.0,2015
Bridge of Spies,7.2,40000000,165478348,141.0,2015
